chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,sequence_length,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks
1011556608_15,1011556608,2002,4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,,context_window,2,1,1,3.0,1.5,3.0,butterfly>stepping
1012638214_53,1012638214,2002,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,,context_window,2,2,0,8.0,4.0,5.0,blurriest>flurry
1012638214_54,1012638214,2002,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,,context_window,2,2,0,10.0,5.0,5.0,blurry whirl>paradox symposium whirl
1012638214_55,1012638214,2002,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,,context_window,3,3,0,13.0,4.333,5.0,blurry whirl>osis>paradox torque
1016457376_15,1016457376,2002,,,,none,3,3,0,9.0,3.0,4.0,butterfly>mirage>ducking butterfly
1016457376_17,1016457376,2002,,,,none,3,3,0,10.0,3.333,4.0,clipper>ripwalk>blur
1016457376_19,1016457376,2002,,,,none,3,3,0,8.0,2.667,3.0,pixie>ducking mirage>butterfly
1016457376_43,1016457376,2002,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,,context_window,4,4,0,12.0,3.0,3.0,swirl>swirl>swirl>swirl
1016457376_45,1016457376,2002,bd9edb36-ddd6-5fa8-b46f-aad4e708716d,Alexander Faber,,context_window,2,2,0,8.0,4.0,4.0,ripwalk>spinning butterfly
1018925821_2,1018925821,2002,,,,none,3,3,0,15.0,5.0,5.0,blurry whirl>paradox torque>paradox blender
1018925821_3,1018925821,2002,,,,none,3,3,0,13.0,4.333,5.0,paradox drifter>paradox whirl>paradox torque
1018925821_4,1018925821,2002,,,,none,3,3,0,11.0,3.667,4.0,ripwalk>ducking butterfly>whirl
1038895913_10,1038895913,2003,,,,none,2,2,0,7.0,3.5,4.0,butterfly>ripwalk
1038895913_12,1038895913,2003,,,,none,2,2,0,6.0,3.0,4.0,mirage>torque
1038895913_15,1038895913,2003,,,,none,3,3,0,11.0,3.667,5.0,blurry whirl>whirl>whirl
1038895913_17,1038895913,2003,,,,none,2,2,0,5.0,2.5,3.0,ducking mirage>legover
1038895913_19,1038895913,2003,,,,none,3,3,0,9.0,3.0,4.0,pixie>ripwalk>whirl
1038895913_21,1038895913,2003,,,,none,2,2,0,8.0,4.0,5.0,blurry whirl>whirl
1038895913_23,1038895913,2003,,,,none,2,2,0,8.0,4.0,4.0,ripwalk>blur
1038895913_8,1038895913,2003,,,,none,3,2,1,8.0,2.667,4.0,ripwalk>blur>symposium
1049457912_35,1049457912,2003,,,,none,2,2,0,8.0,4.0,4.0,torque>torque
1050745947_31,1050745947,2003,,,,none,2,2,0,7.0,3.5,4.0,butterfly>ducking butterfly
1050745947_33,1050745947,2003,,,,none,3,2,1,7.0,2.333,4.0,stepping>osis>barfly
1050745947_34,1050745947,2003,,,,none,2,2,0,7.0,3.5,4.0,ripwalk>spinning clipper
1070734498_23,1070734498,2004,f83826ed-30c2-5608-9dad-50453e899eff,Alex Michelewski,,context_window,2,1,1,4.0,2.0,4.0,ducking>blender
1070734498_24,1070734498,2004,f83826ed-30c2-5608-9dad-50453e899eff,Alex Michelewski,,context_window,2,2,0,7.0,3.5,4.0,whirl>blender
1070734498_27,1070734498,2004,f83826ed-30c2-5608-9dad-50453e899eff,Alex Michelewski,,context_window,2,2,0,10.0,5.0,5.0,blurry whirl>blurriest
1070734498_28,1070734498,2004,f83826ed-30c2-5608-9dad-50453e899eff,Alex Michelewski,,context_window,2,2,0,8.0,4.0,5.0,whirl>superfly
1070734498_30,1070734498,2004,f83826ed-30c2-5608-9dad-50453e899eff,Alex Michelewski,,context_window,3,3,0,13.0,4.333,6.0,dimwalk>food processor>whirl
1079024287_10,1079024287,2004,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,context_window,3,2,1,8.0,2.667,5.0,blurry whirl>whirl>spinning
1079024287_11,1079024287,2004,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,context_window,2,1,1,3.0,1.5,3.0,whirl>spinning
1079024287_13,1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,,context_window,3,3,0,13.0,4.333,5.0,blurry whirl>whirl>spinning whirl
1079024287_14,1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,,context_window,3,3,0,13.0,4.333,5.0,blurry whirl>whirl>spinning whirl
1079024287_19,1079024287,2004,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,,context_window,3,3,0,13.0,4.333,5.0,blurry whirl>paradox torque>whirl
1090437706_68,1090437706,2004,7921325b-8eab-5f32-aaa9-38578c2760bc,Tomas Ostrowski,,context_window,2,1,1,3.0,1.5,3.0,symposium>flurry
1090437706_70,1090437706,2004,7921325b-8eab-5f32-aaa9-38578c2760bc,Tomas Ostrowski,,context_window,2,2,0,7.0,3.5,4.0,paradox mirage>blur
1090437706_75,1090437706,2004,73f415ee-765e-55ec-bde1-247d6b97eba6,Ellis Piltz,,context_window,2,2,0,6.0,3.0,3.0,whirl>whirl
1090437706_77,1090437706,2004,ce7e0e5a-0d7f-542c-8d5d-fb4895184909,Max Kerkhoff,,context_window,2,2,0,9.0,4.5,5.0,blurriest>blur
1090437706_79,1090437706,2004,ce7e0e5a-0d7f-542c-8d5d-fb4895184909,Max Kerkhoff,,context_window,2,2,0,7.0,3.5,4.0,ripwalk>whirl
1090437706_81,1090437706,2004,fc0e50ee-c392-5d00-a7f1-be70b324c749,Adam Cieszkiel,,context_window,3,3,0,11.0,3.667,5.0,whirl>blurriest>whirl
1090437706_83,1090437706,2004,56ecef47-5ea7-5d81-8de8-3efb1e66c81b,Wojciech Ignaczak,,context_window,2,2,0,7.0,3.5,4.0,ripwalk>butterfly
1090437706_85,1090437706,2004,a3781ac2-c529-5316-b22b-2bdcfa67bb67,Damian Budzik,,context_window,2,2,0,6.0,3.0,4.0,ripwalk>mirage
1095965765_11,1095965765,2004,62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,,context_window,2,2,0,8.0,4.0,4.0,ripwalk>blur
1095965765_7,1095965765,2004,62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,,context_window,2,2,0,9.0,4.5,5.0,blurry whirl>paradox whirl
1095965765_9,1095965765,2004,62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,,context_window,2,2,0,7.0,3.5,4.0,dimwalk>whirl
1096318324_19,1096318324,2004,ad54afe3-3f18-5862-87d1-4e02e4fbf9fd,Kevin Crowley,,context_window,2,2,0,7.0,3.5,4.0,blur>smear
1096318324_28,1096318324,2004,bd97ebe2-5ecd-5854-9d2e-b877a27ac527,Daryl Genz,,context_window,2,2,0,6.0,3.0,4.0,mirage>atom smasher
1096318324_31,1096318324,2004,ab216b72-e80d-526e-ba50-e8dd93866623,Ricky Moran,,context_window,2,2,0,6.0,3.0,3.0,whirl>whirl
1102576153_68,1102576153,2005,5e37b75c-a609-52d6-bc6f-a327599b56db,Michal Danek,,context_window,3,2,1,9.0,3.0,5.0,blender>superfly>spinning
1102576153_69,1102576153,2005,5e37b75c-a609-52d6-bc6f-a327599b56db,Michal Danek,,context_window,2,2,0,9.0,4.5,5.0,torque>paradox blender
1109682847_10,1109682847,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,2,0,9.0,4.5,5.0,fog>spinning osis
1109682847_11,1109682847,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,2,0,9.0,4.5,5.0,blurry whirl>paradox whirl
1109682847_9,1109682847,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,1,1,3.0,1.5,3.0,whirl>spinning
1114277529_16,1114277529,2005,,,,none,2,1,1,4.0,2.0,4.0,ducking>torque
1114277529_17,1114277529,2005,,,,none,2,2,0,8.0,4.0,5.0,fusion>eggbeater
1124840254_13,1124840254,2005,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,2,2,0,8.0,4.0,4.0,torque>torque
1124840254_14,1124840254,2005,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,2,2,0,10.0,5.0,5.0,blurry whirl>blurriest
1124840254_16,1124840254,2005,8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,,context_window,3,3,0,12.0,4.0,5.0,blurry whirl>ripwalk>whirl
1124840254_19,1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,,context_window,3,3,0,6.0,2.0,2.0,pixie>legover>mirage
1124840254_20,1124840254,2005,ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,,context_window,3,3,0,8.0,2.667,3.0,mirage>butterfly>osis
1125936037_117,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,2,1,1,4.0,2.0,4.0,torque>stepping
1125936037_124,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,3,0,13.0,4.333,5.0,fog>drifter>blurry whirl
1125936037_126,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,2,2,0,10.0,5.0,6.0,atom smasher>atomic torque
1125936037_127,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,2,1,9.0,3.0,5.0,atomic>fog>torque
1125936037_130,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,3,0,13.0,4.333,5.0,blurry whirl>whirl>superfly
1125936037_132,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,5,5,0,18.0,3.6,5.0,blurry whirl>ripwalk>whirl>pixie>paradox whirl
1125936037_134,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,2,1,5.0,1.667,3.0,smear>atomic>pixie
1125936037_135,1125936037,2005,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,3,0,13.0,4.333,5.0,ripwalk>ripwalk>blurry whirl
1126086921_37,1126086921,2005,,,,none,2,2,0,10.0,5.0,5.0,blurry whirl>paradox blender
1126086921_41,1126086921,2005,2863264e-bf65-5f88-aef4-0b89332b7a29,Hubert Godlewski,,context_window,2,2,0,8.0,4.0,5.0,paradox blender>whirl
1127155729_16,1127155729,2005,,,,none,2,2,0,8.0,4.0,5.0,whirl>superfly
1127155729_17,1127155729,2005,,,,none,2,2,0,7.0,3.5,4.0,torque>whirl
1127155729_18,1127155729,2005,,,,none,2,2,0,7.0,3.5,4.0,blender>whirl
1127155729_19,1127155729,2005,,,,none,2,2,0,8.0,4.0,4.0,dimwalk>ripwalk
1135116604_120,1135116604,2006,,,,none,2,2,0,9.0,4.5,5.0,superfly>blender
1135116604_121,1135116604,2006,,,,none,2,2,0,9.0,4.5,5.0,torque>superfly
1135116604_124,1135116604,2006,,,,none,2,2,0,5.0,2.5,3.0,flurry>pixie
1135116604_125,1135116604,2006,,,,none,3,0,3,,,,stepping>spinning>spinning
1135116604_126,1135116604,2006,,,,none,3,3,0,10.0,3.333,4.0,butterfly>ripwalk>whirl
1137347261_10,1137347261,2006,162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,,context_window,2,2,0,6.0,3.0,4.0,parkwalk>pixie
1137347261_12,1137347261,2006,e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,,context_window,2,2,0,5.0,2.5,3.0,pixie>butterfly
1137347261_28,1137347261,2006,be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,,context_window,2,2,0,6.0,3.0,3.0,whirl>whirl
1137347261_30,1137347261,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,,context_window,2,1,1,5.0,2.5,5.0,blurry whirl>spinning
1137347261_32,1137347261,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,,context_window,2,2,0,8.0,4.0,4.0,blur>parkwalk
1137347261_8,1137347261,2006,5ff55ce6-2a42-5159-ab1a-5b997c194707,Nelson Monhollon,,context_window,2,2,0,8.0,4.0,4.0,ripwalk>spinning osis
1143172220_44,1143172220,2006,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,,context_window,2,2,0,8.0,4.0,5.0,drifter>superfly
