chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,original_length,normalized_length,tokens_consumed_by_merges,merges_performed,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks_normalized
1011556608_15,1011556608,2002,4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,,context_window,2,2,0,0,1,1,3.0,1.5,3.0,butterfly>stepping
1012638214_53,1012638214,2002,8f15594c-f3f9-53d9-bfe5-409e746b7c29,Sunil Jani,,direct,2,2,0,0,2,0,8.0,4.0,5.0,blurriest>flurry
1012638214_54,1012638214,2002,4cf390be-81e9-586c-95c7-aa90dd752ba8,Ryan Mulroney,,direct,2,2,0,0,2,0,10.0,5.0,5.0,blurry whirl>paradox symposium whirl
1012638214_55,1012638214,2002,e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,,direct,3,3,0,0,3,0,13.0,4.333,5.0,blurry whirl>osis>paradox torque
1016457376_15,1016457376,2002,66c8ee00-cda8-5430-ba1c-ffb177198d18,Andrew Coleman,,context_window,3,3,0,0,3,0,9.0,3.0,4.0,butterfly>mirage>ducking butterfly
1016457376_17,1016457376,2002,ba572db5-f29d-52b3-aedb-ee41a49a9930,Paully O'Reilly,,context_window,3,3,0,0,3,0,10.0,3.333,4.0,clipper>ripwalk>blur
1016457376_19,1016457376,2002,a2823c8b-27b9-5f22-95cd-58af9770f3a6,Josh Owens,,context_window,3,3,0,0,3,0,8.0,2.667,3.0,pixie>ducking mirage>butterfly
1016457376_43,1016457376,2002,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,,context_window,4,4,0,0,4,0,12.0,3.0,3.0,swirl>swirl>swirl>swirl
1016457376_45,1016457376,2002,bd9edb36-ddd6-5fa8-b46f-aad4e708716d,Alexander Faber,,context_window,2,2,0,0,2,0,8.0,4.0,4.0,ripwalk>spinning butterfly
1018925821_2,1018925821,2002,42cfb7b0-8f51-53ff-9721-f4ac4b909290,Brad Nelson,,direct,3,3,0,0,3,0,15.0,5.0,5.0,blurry whirl>paradox torque>paradox blender
1018925821_3,1018925821,2002,da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,,direct,3,3,0,0,3,0,13.0,4.333,5.0,paradox drifter>paradox whirl>paradox torque
1018925821_4,1018925821,2002,0f51c65d-c889-5354-8cb7-21bef31c04ca,Jake Milofsky,,direct,3,3,0,0,3,0,11.0,3.667,4.0,ripwalk>ducking butterfly>whirl
1038895913_10,1038895913,2003,e49165b1-b378-5ac5-b92e-566abacd386f,Christian Mills,,context_window,2,2,0,0,2,0,7.0,3.5,4.0,butterfly>ripwalk
1038895913_12,1038895913,2003,38c38c00-7c40-5136-b7d0-6e3c348aa396,John Hutchinson,,context_window,2,2,0,0,2,0,6.0,3.0,4.0,mirage>torque
1038895913_15,1038895913,2003,4cf390be-81e9-586c-95c7-aa90dd752ba8,Ryan Mulroney,,context_window,3,3,0,0,3,0,11.0,3.667,5.0,blurry whirl>whirl>whirl
1038895913_17,1038895913,2003,8a740aac-66c5-5fe2-a482-2acd1d1cdc11,Lynton Stephens,,context_window,2,2,0,0,2,0,5.0,2.5,3.0,ducking mirage>legover
1038895913_19,1038895913,2003,126a7db1-2603-5589-848f-c0af515660a1,Johnathon Murphy,,context_window,3,3,0,0,3,0,9.0,3.0,4.0,pixie>ripwalk>whirl
1038895913_21,1038895913,2003,ef902cd4-83ed-574e-8fb6-06f76e2c2258,Liam Johnston,,context_window,2,2,0,0,2,0,8.0,4.0,5.0,blurry whirl>whirl
1038895913_23,1038895913,2003,cc144a17-3ed0-5c64-9305-e9a45fa00290,Dan Ednie,,context_window,2,2,0,0,2,0,8.0,4.0,4.0,ripwalk>blur
1038895913_8,1038895913,2003,1fe9531c-8c55-5926-a2c0-74476e4f5768,Jon Lee,,context_window,3,3,0,0,2,1,8.0,2.667,4.0,ripwalk>blur>symposium
1049457912_35,1049457912,2003,542be6a9-3b5a-5374-961b-9de19c0def7a,Peter Irish,,direct,2,2,0,0,2,0,8.0,4.0,4.0,torque>torque
1050745947_31,1050745947,2003,6afe2e47-df47-5055-bba0-0aa2341d43e0,Max Boucoiran,,direct,2,2,0,0,2,0,7.0,3.5,4.0,butterfly>ducking butterfly
1050745947_33,1050745947,2003,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,direct,3,2,1,1,2,0,8.0,4.0,4.0,stepping osis>barfly
1050745947_34,1050745947,2003,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,,direct,2,2,0,0,2,0,7.0,3.5,4.0,ripwalk>spinning clipper
1070734498_23,1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,2,0,0,1,1,4.0,2.0,4.0,ducking>blender
