chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,sequence_index,normalized_trick,original_tokens,merge_window,was_merged,adds,merge_method
1011556608_15,1011556608,2002,4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,,context_window,0,butterfly,butterfly,1,False,3.0,direct
1011556608_15,1011556608,2002,4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,,context_window,1,stepping,stepping,1,False,,unresolved_modifier
1012638214_53,1012638214,2002,8f15594c-f3f9-53d9-bfe5-409e746b7c29,Sunil Jani,,direct,0,blurriest,blurriest,1,False,5.0,direct
1012638214_53,1012638214,2002,8f15594c-f3f9-53d9-bfe5-409e746b7c29,Sunil Jani,,direct,1,flurry,flurry,1,False,3.0,direct
1012638214_54,1012638214,2002,4cf390be-81e9-586c-95c7-aa90dd752ba8,Ryan Mulroney,,direct,0,blurry whirl,blurry whirl,1,False,5.0,direct
1012638214_54,1012638214,2002,4cf390be-81e9-586c-95c7-aa90dd752ba8,Ryan Mulroney,,direct,1,paradox symposium whirl,paradox symposium whirl,1,False,5.0,direct
1012638214_55,1012638214,2002,e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,,direct,0,blurry whirl,blurry whirl,1,False,5.0,direct
1012638214_55,1012638214,2002,e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,,direct,1,osis,osis,1,False,3.0,direct
1012638214_55,1012638214,2002,e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,,direct,2,paradox torque,paradox torque,1,False,5.0,direct
1016457376_15,1016457376,2002,66c8ee00-cda8-5430-ba1c-ffb177198d18,Andrew Coleman,,context_window,0,butterfly,butterfly,1,False,3.0,direct
1016457376_15,1016457376,2002,66c8ee00-cda8-5430-ba1c-ffb177198d18,Andrew Coleman,,context_window,1,mirage,mirage,1,False,2.0,direct
1016457376_15,1016457376,2002,66c8ee00-cda8-5430-ba1c-ffb177198d18,Andrew Coleman,,context_window,2,ducking butterfly,ducking butterfly,1,False,4.0,direct
