event_id,year,event_name,city,country,line_no,line_raw,trick_raw,trick_canon,name_raw,person_id,person_canon,match_type,context_snippet,extract_method
1005667143,2001,,,,2,"1. Pekka Raitio, Järvenpää, Finland - Blurry symposium whirl",symposium whirl,symposium whirl,Pekka Raitio,7a8ebf46-3df4-5114-9913-7154c9e52708,Pekka Raitio,exact,", Järvenpää, Finland - Blurry [symposium whirl]",inline_trick_match
1005667143,2001,,,,2,"1. Pekka Raitio, Järvenpää, Finland - Blurry symposium whirl",symposium,symposium,Pekka Raitio,7a8ebf46-3df4-5114-9913-7154c9e52708,Pekka Raitio,exact,", Järvenpää, Finland - Blurry [symposium] whirl",inline_trick_match
1005667143,2001,,,,2,"1. Pekka Raitio, Järvenpää, Finland - Blurry symposium whirl",whirl,whirl,Pekka Raitio,7a8ebf46-3df4-5114-9913-7154c9e52708,Pekka Raitio,exact,"ä, Finland - Blurry symposium [whirl]",inline_trick_match
1005667143,2001,,,,3,"2. Timo Aarnio, Järvenpää, Finland - Diving Butterfly",Butterfly,butterfly,Timo Aarnio,5e7aee36-aee8-5e0f-8ba5-3e955de284f3,Timo Aarnio,exact,", Järvenpää, Finland - Diving [Butterfly]",inline_trick_match
1005667143,2001,,,,12,"1. Lasse Salmenhaara, Helsinki, Finland - Ripped warrior -> Pdx blender!!!!!",blender,blender,Lasse Salmenhaara,ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,exact,nland - Ripped warrior -> Pdx [blender]!!!!!,inline_trick_match
1011324897,2002,,,,21,"and cover their children's eyes (swirling spinning set!!!) and PST's own ""Flash""",spinning,spinning,PST's,,,unresolved,"eir children's eyes (swirling [spinning] set!!!) and PST's own ""Flash""",inline_trick_match
1011556608,2002,,,,15,blurriest > blurry whirl > paradox symposium whirl,symposium whirl,symposium whirl,,,,none,iest > blurry whirl > paradox [symposium whirl],inline_trick_match
1011556608,2002,,,,15,blurriest > blurry whirl > paradox symposium whirl,blurry whirl,blurry whirl,,,,none,blurriest > [blurry whirl] > paradox symposium whirl,inline_trick_match
1011556608,2002,,,,15,blurriest > blurry whirl > paradox symposium whirl,blurriest,blurriest,,,,none,[blurriest] > blurry whirl > paradox symp,inline_trick_match
1011556608,2002,,,,15,blurriest > blurry whirl > paradox symposium whirl,symposium,symposium,,,,none,iest > blurry whirl > paradox [symposium] whirl,inline_trick_match
