name_raw,count
Open Shred,35
Pawe,14
Women's Shred,11
Blurry Whirl,9
Rafa,9
Intermediate Shred,6
Shred,6
Vasek Klouda,6
Paloma Mayo,6
PS Whirl,5
Phoenix,5
Eric,5
Daniel Greer ID,5
Jim Hogan ID,5
Anthony Ritz ID,5
Intermediate,5
Erik Chan,4
Best,4
CO,4
Zerg,4
Wiktor Debski,4
Christopher Siebert ID,4
Jim Hankins ID,4
Robert McCloskey ID,4
Nikolai,4
Sick,3
Ripwalk,3
Blur,3
Matthias Schmidt,3
Klouda,3
Ale,3
Final,3
SCORE,3
Szymon Ka,3
Whirl,3
Thibault-Pierrot,3
Reni,3
Karim,3
Samy,3
Leuch,3
Serge Kaldany Sumo,3
Ianek,3
Jakub Mo,3
Request,3
Benjamin De Bastos ID,3
Jake Jo Dodd ID,3
Stefan,3
Stoian,3
OPEN SHRED,2
Colorado Shred Symposium,2
WA,2
TX,2
Mobius,2
Big,2
Ripstein,2
Parkwalk,2
Blurrywhirl,2
Sidewalk,2
Paradon,2
Janiwalker,2
Pierrot,2
Lassad,2
Go Bros,2
David,2
Augustin-Vincent,2
Mamoute,2
Augustin,2
Tutur,2
Fcky,2
Dreuf,2
Sumo,2
Pixie Legover,2
Dimwalk,2
Quantum Ducking Whirl,2
Sebastien,2
Blender,2
Saturday,2
Clipper,2
Ducking Pdx Mirage,2
Micha,2
Clemens,2
Emmanuel Bouchard ID,2
Francois Depatie Pelletier ID,2
Luc Legault ID,2
Martin Cote ID,2
Pat Doran ID,2
Walter Houston ID,2
Benjamin Alston ID,2
Genevieve Bousquet ID,2
Josh Gayhart ID,2
Martin,2
Georgi,2
Evgeni,2
Teodora,2
Rafal Kaleta FS Janiwalker,2
Christophe Kabache Alpine PLO,2
Pro,2
RESULTS,2
Somolinos,2
Contest,1
PST's,1
Haze,1
Alex Faber- Gyro Dlo,1
Then,1
Jamie Lloyd-Blurry Pickup,1
Pro Shred,1
FREESTYLE SHRED- Greg Nelson,1
