qc_rule,qc_detail,event_id,year,division_canon,place,person_canon,norm
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,857875120,1997,Novice Doubles Net,1,__NON_PERSON__,
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,877061793,1998,Beginner Doubles Net (Sunday) 6 Teams,1,__NON_PERSON__,
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,877061793,1998,Beginner Doubles Net (Sunday) 6 Teams,2,__NON_PERSON__,
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,877061793,1998,Beginner Doubles Net (Sunday) 6 Teams,3,__NON_PERSON__,
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,1,Sean Jordan,sean jordan
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,2,John Pimentel,john pimentel
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,3,Tom Helus,tom helus
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,4,Steven Clinton,steven clinton
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,857874500,1997,Novice Doubles-Saturday,1,Judy Prokopiak,judy prokopiak
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,857874500,1997,Novice Doubles-Saturday,1,Lucas,lucas
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,857874500,1997,Novice Doubles-Saturday,3,Eli Laird,eli laird
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,857874500,1997,Novice Doubles-Saturday,3,Barry Thorsen,barry thorsen
R03_DAYNAME_IN_DIVISION,weekday in division field,877061793,1998,Beginner Doubles Net (Sunday) 6 Teams,1,__NON_PERSON__,
R03_DAYNAME_IN_DIVISION,weekday in division field,877061793,1998,Beginner Doubles Net (Sunday) 6 Teams,2,__NON_PERSON__,
R03_DAYNAME_IN_DIVISION,weekday in division field,877061793,1998,Beginner Doubles Net (Sunday) 6 Teams,3,__NON_PERSON__,
R03_DAYNAME_IN_DIVISION,weekday in division field,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,1,Sean Jordan,sean jordan
R03_DAYNAME_IN_DIVISION,weekday in division field,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,2,John Pimentel,john pimentel
R03_DAYNAME_IN_DIVISION,weekday in division field,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,3,Tom Helus,tom helus
R03_DAYNAME_IN_DIVISION,weekday in division field,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,4,Steven Clinton,steven clinton
R03_DAYNAME_IN_DIVISION,weekday in division field,857874500,1997,Novice Doubles-Saturday,1,Judy Prokopiak,judy prokopiak
R03_DAYNAME_IN_DIVISION,weekday in division field,857874500,1997,Novice Doubles-Saturday,1,Lucas,lucas
R03_DAYNAME_IN_DIVISION,weekday in division field,857874500,1997,Novice Doubles-Saturday,3,Eli Laird,eli laird
R03_DAYNAME_IN_DIVISION,weekday in division field,857874500,1997,Novice Doubles-Saturday,3,Barry Thorsen,barry thorsen
R04_MONTH_IN_PERSON,month name in player/person field,1004370976,2001,Freestyle 2-Min,1,Jan Zimmermann,jan zimmerman
R04_MONTH_IN_PERSON,month name in player/person field,1004370976,2001,Sick-3 Contest,1,Jan Zimmermann,jan zimmerman
R04_MONTH_IN_PERSON,month name in player/person field,1011556608,2002,Open Freestyle,3,Jan Zimmermann,jan zimmerman
R04_MONTH_IN_PERSON,month name in player/person field,1011556608,2002,Sick 3 Contest,2,Jan Zimmermann,jan zimmerman
R04_MONTH_IN_PERSON,month name in player/person field,1018812342,2002,Girl's Freestyle,3,Jan Huleja,jan huleja
R04_MONTH_IN_PERSON,month name in player/person field,1042821772,2003,Open Singles Freestyle 38 Player,9,Jan Zimmermann,jan zimmerman
R04_MONTH_IN_PERSON,month name in player/person field,1042821772,2003,Open Singles Freestyle 38 Player,17,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1069791565,2004,Open Freestyle ? Routines,5,Jan Dexter Struz,jan dexter struz
R04_MONTH_IN_PERSON,month name in player/person field,1069791565,2004,Open Freestyle ? Shred 30 Sec.,4,Jan Dexter Struz,jan dexter struz
R04_MONTH_IN_PERSON,month name in player/person field,1069791565,2004,Open Freestyle ? Shred 30 Sec.,8,Jan Zimmermann,jan zimmerman
R04_MONTH_IN_PERSON,month name in player/person field,1069929277,2004,Open Shred,2,Jan Weber,jan weber
R04_MONTH_IN_PERSON,month name in player/person field,1069929277,2004,Open Singles Freestyle,2,Jan Weber,jan weber
R04_MONTH_IN_PERSON,month name in player/person field,1069929277,2004,Open Singles Freestyle,37,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1079444598,2004,Open Men Freestyle,4,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1079605499,2004,Open Singles Freestyle,2,Weber Jan,weber jan
R04_MONTH_IN_PERSON,month name in player/person field,1089373321,2004,Open Singles Freestyle,8,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1090437706,2004,Open Man Freestyle,3,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1090437706,2004,Open Single Net,1,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1092073845,2004,Singles Net,3,Jan Huleja,jan huleja
R04_MONTH_IN_PERSON,month name in player/person field,1097686137,2005,Open 30S Shred,7,Jan Zimmermann,jan zimmerman
R04_MONTH_IN_PERSON,month name in player/person field,1102576153,2005,Open Shred,2,Jan Weber,jan weber
R04_MONTH_IN_PERSON,month name in player/person field,1102576153,2005,Open Singles Freestyle,2,Jan Weber,jan weber
R04_MONTH_IN_PERSON,month name in player/person field,1102576153,2005,Open Singles Freestyle,8,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1102576153,2005,Open Singles Freestyle,21,Jan Zimmermann,jan zimmerman
R04_MONTH_IN_PERSON,month name in player/person field,1102576153,2005,Open Singles Net,47,Jan Zimmermann,jan zimmerman
R04_MONTH_IN_PERSON,month name in player/person field,1102788509,2005,Open Freestyle,2,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1102788509,2005,Sick 3,3,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1104851808,2005,Open Shred:30,2,Jan Weber,jan weber
R04_MONTH_IN_PERSON,month name in player/person field,1104851808,2005,Open Sick 3-Trick,2,Jan Weber,jan weber
R04_MONTH_IN_PERSON,month name in player/person field,1104851808,2005,Open Singles Routines,2,Jan Weber,jan weber
R04_MONTH_IN_PERSON,month name in player/person field,1104851808,2005,Open Singles Routines,9,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1105087209,2005,Open Singles Routines,5,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1127155729,2005,Open Single Freestyle,5,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1127155729,2005,Open Single Net,1,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1135116604,2006,Intermediate Singles Net,19,Jan Baudoin,jan baudoin
R04_MONTH_IN_PERSON,month name in player/person field,1135116604,2006,Open Singles Freestyle,2,Jan Weber,jan weber
R04_MONTH_IN_PERSON,month name in player/person field,1135116604,2006,Open Singles Freestyle,9,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1137937282,2006,Golf,1,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1137937282,2006,Net,3,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1137937282,2006,Rutina Open,4,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1137937282,2006,Sick 3,3,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1137942486,2006,Open Golf,1,Jan Zimmermann,jan zimmerman
R04_MONTH_IN_PERSON,month name in player/person field,1137942486,2006,Open Singles Freestyle,5,Jan Struz,jan struz
R04_MONTH_IN_PERSON,month name in player/person field,1154685554,2007,Open Shred:30,3,Jan Weber,jan weber
