event_id,event_name,year,issue_class,severity,note,n_placements,n_divisions,has_dup_places,has_round_kw,place_reset_count,has_mirror_manual,results_raw_len
1001076203,3ème Open de France de Footbag,2001,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Double"", ""Men's Singles"", ""Single"", 3 dup pairs)",22,4,1,0,4,1,2005
1001942070,Texas State Footbag Championships,2001,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Intermediate"", ""Open"")",30,9,1,0,11,1,807
1011291051,Quebec City Footbag Net Championships 2002,2002,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Doubles"", ""Open Singles"")",40,4,1,0,0,1,1209
1011556608,FOOTJAM meets 3BORDERSCUP,2002,MINOR_TIES_MERGED,minor,"minor: 1 duplicate place(s) in ""Ladies Freestyle",14,5,1,0,6,1,807
1016457376,Cinco de Mayo Footbag Fest,2002,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Intermediate"", ""Shred 30"")",28,4,1,0,7,1,1653
1018812342,Czech Footbag Championships,2002,MINOR_TIES_MERGED,moderate,"minor: 3 duplicate place(s) in ""Girl's Freestyle",38,6,1,0,8,1,1162
1019193491,Finnsta City Jam,2002,MINOR_TIES_MERGED,minor,"minor: 1 duplicate place(s) in ""Intermediate Freestyle",17,2,1,0,3,1,351
1021665982,2002 East Coast Footbag Championships,2002,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate"", ""Novice"")",57,3,1,0,9,1,1738
1028218784,2002 Texas State Footbag Championships,2002,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Intermediate Golf"", ""Pro Golf"", ""Pro One Minute Consecutives"", 4 dup pairs",53,12,1,0,0,1,1381
1030830356,4e Open de France de Footbag,2002,OTHER,moderate,"multiple divisions merged (4 affected: ""Open Double Net"", ""Open Shred"", ""Open Single Net"" + 1 more)",52,9,1,0,9,1,2580
1036653244,2003 Shred Zero Summer Open,2003,MINOR_TIES_MERGED,minor,"minor: 3 duplicate place(s) in ""Intermediate 30 Second Shred",9,2,1,0,3,1,523
1042821772,European Footbag Championships 2003,2003,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate Singles Freestyle 33 Play",117,10,1,0,10,1,2554
1049457912,2003 East Coast Championships - The BIG 2-0,2003,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate"", ""Open Singles"")",80,9,1,0,9,1,2312
1058877971,"""Kick Til You're Sick"" Fall Freestyle Fest",2003,MINOR_TIES_MERGED,minor,"minor: 3 duplicate place(s) in ""Open",12,3,1,0,0,1,602
1064330873,4. Frankfurt Footbag Open,2003,MERGED_DIVISION_RESULTS,severe,"division results merged (""Doubles Net Open"", ""Singles Net Open"", 4 dup pairs)",34,3,1,0,3,1,887
1064849293,1st French Footbag Championships,2003,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open Double Net"", ""Open Shred"", ""Open ",61,8,1,0,8,1,2568
1069929277,25th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,2004,POOL_FINALS_MERGED,severe,"pool+finals results merged (6 divisions, 17 dup pairs, 143 affected rows)",244,15,1,0,15,1,7508
1070734498,TODEXON 5,2004,MERGED_UNLABELLED_DIVISIONS,minor,"Open/Intermediate results merged under unlabelled divisions (""Open Singles Freestyle"")",22,3,1,0,5,1,834
1080138513,RNH Contest 2004,2004,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Dimwalk>Double Legover>Smudge"", ""Singles Net"", 2 dup pairs)",45,6,1,0,7,1,1983
1089373321,6e Open de France de Footbag,2004,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate Singles Net"", ""Open Doubl",98,12,1,0,12,1,3088
1090569022,Montpellier Sunny Jam Open,2004,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Double Net"", ""Simple Net"", 5 dup pairs)",24,2,1,0,2,1,628
1092073845,Czech Championships 2004,2004,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Intermediate Freestyle"", ""Open Freesty",44,8,1,0,8,1,913
1096318324,3rd Annual Seattle Juggling and Footbag Festival,2004,POOL_FINALS_MERGED,moderate,"pool+finals results merged (2 divisions, 11 dup pairs, 29 affected rows)",28,2,1,0,6,1,837
1102443443,Footbag Fiesta,2005,MINOR_TIES_MERGED,minor,"minor: 1 duplicate place(s) in ""Open Big One",41,7,1,0,8,1,940
1102576153,26th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,2005,POOL_FINALS_MERGED,severe,"pool+finals results merged (3 divisions, 16 dup pairs, 82 affected rows)",238,15,1,0,16,1,6971
1103297805,2e Championnat de France de Footbag,2005,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Double Net"", ""Sick 3"", ""Simple Net"", 3 dup pairs)",55,15,1,0,15,1,842
1103724325,RNH Contest 2005,2005,MERGED_DIVISION_RESULTS,severe,"division results merged (""Doubles Net"", ""Routine"", ""Singles Net"", 8 dup pairs)",54,7,1,0,7,1,1231
1105087209,IFPA Swiss Footbag Open 2005: FootJam05,2005,MERGED_DIVISION_RESULTS,severe,"division results merged (""Open Doubles Net"", ""Open Singles Routines"", ""Women's Singles Routines"", 6 ",70,3,1,0,3,1,2392
1107290435,The 2005 Montreal International Footbag Championships,2005,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open Doubles"", ""Open Singles"")",30,3,1,0,0,1,856
1114277529,Czech Footbag Championships,2005,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Intermediate Freestyle"", ""Open Freesty",32,4,1,0,9,1,1530
1125936037,7e Open de France de Footbag,2005,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open Double Net"", ""Open Singles Freest",111,13,1,0,15,1,4215
1127155729,Zocha Jam 2005,2005,MINOR_TIES_MERGED,minor,"minor: 3 duplicate place(s) in ""Open Double Freestyle",52,6,1,0,0,1,1458
1131659634,2006 Green Cup Presented by Chaos,2006,MINOR_TIES_MERGED,minor,"minor: 2 duplicate place(s) in ""Open Mixed Doubles",21,4,1,0,5,1,1301
1135116604,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2006,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate Doubles Net"", ""Intermedia",268,17,1,0,1,1,8264
1137347261,7th Annual Colorado Shred Symposium,2006,MINOR_TIES_MERGED,minor,"minor: 1 duplicate place(s) in ""Double Spinning Clipper>Scorpions Tail>Whirlwind",26,5,1,0,5,1,932
1137937282,Czech Footbag Championships,2006,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Net"", ""Rutina Intermediate"", ""Sick 3"", 9 dup pairs)",32,6,1,0,10,1,895
1137942486,8th Annual IFPA European Footbag Championships,2006,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open Doubles Net"", ""Open Golf"", ""Open ",98,12,1,0,13,1,2985
