event_id,division_canon,min_place,message
1001942070,30 Second Shred - Intermediate,3,min_place=3 (not 1) in event=1001942070 div='30 Second Shred - Intermediate' — partial results published
1005667143,Open Huge Combo,2,min_place=2 (not 1) in event=1005667143 div='Open Huge Combo' — partial results published
1046985067,Intermediate Big 3,2,min_place=2 (not 1) in event=1046985067 div='Intermediate Big 3' — partial results published
1058378281,Freestyle - Open,9,min_place=9 (not 1) in event=1058378281 div='Freestyle - Open' — partial results published
1058378281,Freestyle ? 30 Second Shred,3,min_place=3 (not 1) in event=1058378281 div='Freestyle ? 30 Second Shred' — partial results published
1061453080,Intermediate Sick 3,2,min_place=2 (not 1) in event=1061453080 div='Intermediate Sick 3' — partial results published
1079444598,Intermediate Singles Net,2,min_place=2 (not 1) in event=1079444598 div='Intermediate Singles Net' — partial results published
1079444598,Open Single Net,3,min_place=3 (not 1) in event=1079444598 div='Open Single Net' — partial results published
1080757998,Open Sick3,2,min_place=2 (not 1) in event=1080757998 div='Open Sick3' — partial results published
1093955766,Net,2,min_place=2 (not 1) in event=1093955766 div='Net' — partial results published
1103297805,Shred 30,6,min_place=6 (not 1) in event=1103297805 div='Shred 30' — partial results published
1134914723,Open Singles Net,4,min_place=4 (not 1) in event=1134914723 div='Open Singles Net' — partial results published
1135116604,Open Sick 3-Trick,6,min_place=6 (not 1) in event=1135116604 div='Open Sick 3-Trick' — partial results published
1149763452,Spinning Simple Swirl,6,min_place=6 (not 1) in event=1149763452 div='Spinning Simple Swirl' — partial results published
1164845982,Open Doubles - Division B,9,min_place=9 (not 1) in event=1164845982 div='Open Doubles - Division B' — partial results published
1164845982,Open Singles - Division B,13,min_place=13 (not 1) in event=1164845982 div='Open Singles - Division B' — partial results published
1179679872,Open Freestyle Routine,4,min_place=4 (not 1) in event=1179679872 div='Open Freestyle Routine' — partial results published
1181021804,Inter Sick1,2,min_place=2 (not 1) in event=1181021804 div='Inter Sick1' — partial results published
1181021804,Open Sick1,2,min_place=2 (not 1) in event=1181021804 div='Open Sick1' — partial results published
1193783964,Intermediate Doubles Net:,2,min_place=2 (not 1) in event=1193783964 div='Intermediate Doubles Net:' — partial results published
