event_id,year,event_name,pattern_family,recommended_disposition,short_note
859787898,1997,HEART OF FOOTBAG Freestyle Tournament,OVERRIDE_OK,ACCEPT,RFO divergence expected; stage2 mirrors legacy file
857874500,1997,University of Oregon Footbag Tournament,OVERRIDE_OK,ACCEPT,RFO divergence expected; legacy file is canonical
884112176,1998,The 1st Annual Fighting Illini Footbag Festival,OVERRIDE_OK,ACCEPT,RFO divergence expected
876356874,1998,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,OVERRIDE_OK,ACCEPT,RFO divergence expected
937854594,1999,Turku Tournee 1999,OVERRIDE_OK,ACCEPT,RFO divergence expected
915561090,1999,WORLD FOOTBAG CHAMPIONSHIPS,OVERRIDE_OK,ACCEPT,1999 Worlds fully recovered via RFO
947196813,2000,New Zealand Footbag Championships,OVERRIDE_OK,ACCEPT,RFO divergence expected
1035817350,2002,New South Wales Footbag Championships,OVERRIDE_OK,ACCEPT,RFO divergence expected
1022992222,2002,Shred Zero Summer Open 2002,OVERRIDE_OK,ACCEPT,RFO divergence expected
1032602594,2002,Victorian Footbag Championships,OVERRIDE_OK,ACCEPT,RFO divergence expected
1044624680,2003,2003 Southeastern Regional Championships,OVERRIDE_OK,ACCEPT,RFO divergence expected
1046985067,2003,2003 Steel City Footbag Open,OVERRIDE_OK,ACCEPT,RFO divergence expected
1061453080,2003,Australian East Coast Regionals,OVERRIDE_OK,ACCEPT,RFO divergence expected
1036298726,2003,Colorado Shred Symposium 4,OVERRIDE_OK,ACCEPT,RFO divergence expected
1096695238,2004,2nd Annual UMaine Hacky Sack Club Tournament,OVERRIDE_OK,ACCEPT,RFO divergence expected
1070954568,2004,5th Annual Colorado Shred Symposium,OVERRIDE_OK,ACCEPT,RFO divergence expected
1103297805,2005,2e Championnat de France de Footbag,OVERRIDE_OK,ACCEPT,RFO divergence expected
1163784775,2007,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,OVERRIDE_OK,ACCEPT,RFO divergence expected
1189345008,2007,5th Annual Wilanow Footbag Open 2007,OVERRIDE_OK,ACCEPT,RFO divergence expected
1376036018,2013,13th Annual Polish Footbag Championships 2013,OVERRIDE_OK,ACCEPT,RFO divergence expected
857879540,1997,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Doubles Net + Singles Net merged; 6 dup pairs
937727262,1999,California State Footbag Championships,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,3 divs merged incl. Grand Masters; 7 dup pairs
948198763,2000,European Footbag Championships 2000,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Open/Intermediate merged under unlabelled freestyle divs
948943299,2000,First Annual Arica Open,KNOWN_ISSUE_MINOR,ACCEPT,1 dup place in Doubles Net; minor anomaly
955745735,2000,4th Annual Kansas Footbag Open,KNOWN_ISSUE_MINOR,ACCEPT,3 dup places in Doubles Net; minor anomaly
980502839,2001,European Footbag Championships,KNOWN_ISSUE_MINOR,ACCEPT,3 dup places in Intermediate Doubles Net only; minor anomaly
996293200,2001,Australian Footbag Championships,KNOWN_ISSUE_MINOR,ACCEPT,3 dup places in Doubles Freestyle only; minor anomaly
1001942070,2001,Texas State Footbag Championships,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Open/Intermediate merged under Intermediate/Open divs
1021665982,2002,2002 East Coast Footbag Championships,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Open/Intermediate merged under unlabelled divs; structural source ambiguity
1016457376,2002,Cinco de Mayo Footbag Fest,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Intermediate div merged; 3 dup pairs
1018812342,2002,Czech Footbag Championships,KNOWN_ISSUE_MINOR,ACCEPT,3 dup places in Girl's Freestyle; minor anomaly
1019193491,2002,Finnsta City Jam,KNOWN_ISSUE_MINOR,ACCEPT,1 dup place in Intermediate Freestyle; minor anomaly
1058877971,2003,"""Kick Til You're Sick"" Fall Freestyle Fest",KNOWN_ISSUE_MINOR,ACCEPT,3 dup places in Open; minor anomaly
1070734498,2004,TODEXON 5,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Open/Intermediate merged under Open Singles Freestyle
1137937282,2006,Czech Footbag Championships,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Net+Rutina Intermediate+Sick 3 merged; 9 dup pairs
1131659634,2006,2006 Green Cup Presented by Chaos,KNOWN_ISSUE_MINOR,ACCEPT,2 dup places in Open Mixed Doubles; minor anomaly
1185556078,2007,Austrian Footbag Championships 2007,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Open/Intermediate merged under Open Freestyle
1176650845,2007,3rd New Jersey Spike and Shred,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Freestyle Routines Finals merged; 4 dup pairs
1220466807,2008,East Coast Footbag Championships,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Pool+finals merged; 25 affected rows in 2 divs
1252110023,2009,2009 East-Coast Footbag Championships,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Open/Intermediate merged + 2 more merged divs; complex source layout
1241031822,2009,Frisbee Footbag Fest,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Circle + Routine merged; 4 dup pairs
