event_id,year,source_path,source_url,source_file,source_layer,event_name_raw,date_raw,location_raw,host_club_raw,event_type_raw,results_block_raw,results_lines_n,has_results,html_parse_notes,html_warnings
9928572,1980,Magazine/FBW-ARCHIVE,,magazine_ingestion.csv,magazine,1980 World Footbag Championships,,"Memphis, Tennessee",,,"Division: Advanced Doubles
1. John East / Peter Shunny

Division: Advanced Singles
1. Peter Shunny

Division: Freestyle
1. Andy Linder
2. Jeff Haas
3. Peter Shunny

Division: Mixed Doubles
1. Jody Badger / Brent Welch

Division: Open Doubles
1. Sono Carrigg / Rick O'Niel

Division: Womens Doubles
1. Marie Elsner / Paula Elsner

Division: Womens Singles
1. Marie Elsner
",9,True,source_ref=FBW-ARCHIVE; verification_level=3,
9905304,1980,Magazine/FBW-ARCHIVE,,magazine_ingestion.csv,magazine,1980 World Footbag Championships,,"Oregon City, Oregon",,,"Division: Open Doubles
1. Mike Marshall / John Stalberger

Division: Open Singles
1. John Stalberger
",2,True,source_ref=FBW-ARCHIVE; verification_level=3,
9992129,1981,Magazine/FBW-ARCHIVE,,magazine_ingestion.csv,magazine,1981 World Footbag Championships,,"Portland, Oregon",,,"Division: Freestyle Singles
1. John Stalberger

Division: Open Doubles
1. Mike Marshall / John Stalberger

Division: Open Singles
1. John Stalberger

Division: Womens Singles
1. Cindy Marshall
",4,True,source_ref=FBW-ARCHIVE; verification_level=3,
9966902,1981,Magazine/FBW-ARCHIVE,,magazine_ingestion.csv,magazine,1981 World Footbag Championships,,"Rohnert Park, California",,,"Division: Advanced Doubles
1. Chris Ott / Marty Swift

Division: Advanced Singles
1. Chris Ott

Division: Intermediate Singles
1. Brent Stewart

Division: Novice Singles
1. Merritt Pelky

Division: Open Doubles
1. Sono Carrigg / Rick O'Niel

Division: Singles Consecutive
1. Brent Welch

Division: Team Freestyle
1. Brent Welch / Bill Langbehn

Division: Womens Consecutive
1. Sam Conlon

Division: Womens Singles
1. Jody Badger
",9,True,source_ref=FBW-ARCHIVE; verification_level=3,
9998504,1982,Magazine/FBW-ARCHIVE,,magazine_ingestion.csv,magazine,1982 World Footbag Championships,,"Golden, Colorado",,,"Division: Advanced Singles
1. Bruce Guettlich

Division: Freestyle Singles
1. John Stalberger

Division: Open Doubles
1. Mike Marshall / John Stalberger

Division: Open Singles
1. John Stalberger

Division: Team Freestyle
1. John Stalberger / Mike Marshall

Division: Womens Singles
1. Cindy Marshall
",6,True,source_ref=FBW-ARCHIVE; verification_level=3,
9901155,1982,Magazine/FBW-ARCHIVE,,magazine_ingestion.csv,magazine,1982 World Footbag Championships,,"San Diego, California",,,"Division: Singles Freestyle
1. Kenny Shults
2. John Lind

Division: Team Freestyle
1. Dennis Ross / Jon Lind
2. Scott Cleere / Bill Bethurum / Randy Nelson
",4,True,source_ref=FBW-ARCHIVE; verification_level=3,
9904297,1983,Magazine/FBW-ARCHIVE,,magazine_ingestion.csv,magazine,1983 World Footbag Championships,,"Golden, Colorado",,,"Division: Advanced Doubles
1. Ken Hamric / Andrew Williams

Division: Advanced Singles
1. Garry Griggs
1. Doug Krob

Division: Doubles Ultra
1. Garry Griggs / London England

Division: Freestyle Singles
1. Jon Lind

Division: Mixed Doubles
1. Tricia Sullivan / David Robinson

Division: Open Doubles
1. Greg Cortopassi / Bruce Guettlich

Division: Open Singles
1. Jon Lind
1. Bruce Guettlich

Division: Open Singles Consecutive
1. Jimmy Caveney

Division: Open Team
1. Scott Cleere / Bill Bethurum / Randy Nelson

Division: Singles Consecutive
1. Ted Huff

Division: Singles Ultra
1. Kenny Shults

Division: Team Freestyle
1. John Stalberger / Mike Marshall

Division: Womens Doubles
1. Marie Elsner / Paula Elsner

Division: Womens Doubles Consecutive
1. Constance Reed / Marie Elsner

Division: Womens Freestyle
1. Tricia Sullivan

Division: Womens Singles
1. Tricia Sullivan
1. Jodi Sebastian
",19,True,source_ref=FBW-ARCHIVE; verification_level=3,
9924417,1984,Magazine/FBW-ARCHIVE,,magazine_ingestion.csv,magazine,1984 World Footbag Championships,,"Golden, Colorado",,,"Division: Advanced Singles
1. Jim Fitzgerald

Division: Freestyle Singles
1. Jon Lind

Division: Open Doubles
1. Dave Hill / Bruce Guettlich

Division: Open Singles
1. Bruce Guettlich

Division: Singles Consecutive
1. Jon Lind

Division: Team Freestyle
1. John Stalberger / Mike Marshall

Division: Womens Singles
1. Jodi Sebastian
",7,True,source_ref=FBW-ARCHIVE; verification_level=3,
9984533,1985,Magazine/FBW-ARCHIVE,,magazine_ingestion.csv,magazine,1985 Holiday Classic,,"San Diego, California",,,"Division: Singles Freestyle
1. Kenny Shults
2. Jack Schoolcraft

Division: Team Freestyle
1. Greg Cortopassi / Jim Caveney
2. Pat Belber / Kenny Shults
",4,True,source_ref=FBW-ARCHIVE; verification_level=3,
9972848,1985,Magazine/FBW-ARCHIVE,,magazine_ingestion.csv,magazine,Floodbag Finals,,"Vancouver, Washington",,,"Division: Doubles Consecutive
1. Tim Nelson / Scott Jenda

Division: Intermediate Singles Net
1. Scott Jenda
2. Randy Gaunce

Division: Open Doubles Net
1. Dave Hill / Tim Nelson
2. Jim Fitzgerald / Dennis Ross

Division: Open Singles Net
1. Dave Hill
2. Tim Nelson

Division: Singles Consecutive
1. Tim Nelson
2. Scott Jenda

Division: Womens Open Singles Net
1. Shannon Aubin
2. Jodi Sebastian
",11,True,source_ref=FBW-ARCHIVE; verification_level=3,
