event_id,notes
1118129163,Event Listing placeholder — June TBA 2005 no results
1031232420,FootJam03 — stats not results (91 players registered etc)
1043428338,Spring Footbag Jam — narrative recap not placements
984874006,PST Obligatory Footbag Forum 2001 — informal gathering no formal placements
2001982002,1982 NHSA FREESTYLE — subset of 2001982001 (Open Doubles Freestyle)
2001983004,1983 WFA FREESTYLE — dup of 2001983003 (Singles/Team Freestyle)
2001984002,1984 WFA FREESTYLE — dup of 2001984001 (Singles/Team Freestyle)
2001985002,1985 WFA FREESTYLE — dup of 2001985001 (Singles/Team Freestyle)
860944937,1997 Kansas Open — division listing only no placements
1106561176,2005 Aachen Indoor — first names/nicknames only unresolvable
1189657133,2007 New Years Jam — schedule text parsed as results
1737312020,2025 Canadian Closed — future event no results posted
