alias_name,canonical_name,confidence,review_flag,event_key,n_events,similarity,alias_freq_pbp,canon_freq_pbp,all_event_keys,notes
Łukasz Domin,Lukasz Domin,0.987,CLEAR,2016_malopolska_mistrzostwa_ma,14,0.957,0,23,"2016_malopolska_mistrzostwa_ma,2017_polish,2018_eurochamp_kranj,2018_xviii_polish_krakow,2019_xix_polish_krakow,2020_xx_polish_warsaw,2021_eurochamp_krakow,2021_xxi_polish_warsaw,2022_cracow_3,2022_eurochamp_jaworzno,2022_xxii_polish_warsaw,2023_eurochamp_krakow,2023_xxiii_polish_warsaw,2025_polish_jaworzno","""Lukasz Domin"" is PT canon; recurs in 14 events"
Marek Šandrik,Marek Andrik,0.98,CLEAR,2004_czech,1,0.96,0,1,2004_czech,"""Marek Andrik"" is PT canon"
James Deans,James Dean,0.972,CLEAR,1997_heartoffootbag,1,0.952,1,1,1997_heartoffootbag,"""James Dean"" is PT canon"
Rado Čarnaj,Rado arnaj,0.972,CLEAR,2004_czech,1,0.952,1,1,2004_czech,"""Rado arnaj"" is PT canon"
Ostrowski Michał,Ostrowski Michal,0.958,CLEAR,2007_footbagmania_polish,1,0.938,0,1,2007_footbagmania_polish,"""Ostrowski Michal"" is PT canon"
Yoann Vinchon I,Yoann Vinchon,0.949,CLEAR,2009_rnh_contest,1,0.929,0,1,2009_rnh_contest,"""Yoann Vinchon"" is PT canon"
Đorka Szaszkó,Dorka Szaszkó,0.943,CLEAR,2023_eurochamp_krakow,1,0.923,0,3,2023_eurochamp_krakow,"""Dorka Szaszkó"" is PT canon"
Lukáš Blašek,Lukáš Blažek,0.937,CLEAR,2004_czech,1,0.917,1,2,2004_czech,"""Lukáš Blažek"" is PT canon"
Genevičve Bousquet,Genevive Bousquet,0.931,NEITHER_IN_PT,2004_worlds_montreal,2,0.971,0,0,"2004_worlds_montreal,2011_worlds_helsinki","neither in PT; PBP freq ""Genevive Bousquet""=0, ""Genevičve Bousquet""=0; recurs in 2 events"
Wiktor Dbski.,Wiktor Dbski,0.92,NEITHER_IN_PT,2013_polish,1,0.96,0,0,2013_polish,"neither in PT; PBP freq ""Wiktor Dbski""=0, ""Wiktor Dbski.""=0"
