event_id,division_guess,mirror_places_detected,mirror_max_place_detected,division_key,division_canon,parsed_places,parsed_max_place,problem_type_guess,severity_score,mirror_divisions_detected,mirror_total_places_detected,parsed_total_places,parsed_divisions,event_name,year
1163784775,Results for IFPA WORLD FOOTBAG CHAMPIONSHIPS (2007) Open Singles Net,110.0,41.0,results for ifpa world footbag championships 2007 open singles net,,0.0,0.0,missing_division_or_unmatched_division,225.0,31.0,423.0,269.0,19.0,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,2007.0
1102576153,Results for 26th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS (2005) Open Singles Net,108.0,49.0,results for 26th annual ifpa world footbag championships 2005 open singles net,,0.0,0.0,missing_division_or_unmatched_division,221.0,26.0,375.0,238.0,15.0,26th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,2005.0
1194517448,58. Marc Brunet (France,106.0,72.0,58 marc brunet france,,0.0,0.0,missing_division_or_unmatched_division,217.0,40.0,522.0,319.0,21.0,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,2008.0
1487797845,"Footbag Golf, 2square",91.0,20.0,footbag golf 2square,,0.0,0.0,missing_division_or_unmatched_division,187.0,15.0,217.0,165.0,11.0,19th Annual IFPA European Footbag Championships,2017.0
1035277529,Results for 24th Annual WORLD FOOTBAG CHAMPIONSHIPS (2003) Open Singles Net,89.0,55.0,results for 24th annual world footbag championships 2003 open singles net,,0.0,0.0,missing_division_or_unmatched_division,183.0,21.0,289.0,192.0,15.0,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,2003.0
1135116604,36. Marc Brunet (France,87.0,54.0,36 marc brunet france,,0.0,0.0,missing_division_or_unmatched_division,179.0,87.0,401.0,267.0,18.0,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2006.0
1069929277,Results for 25th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS (2004) Open Singles Net,81.0,47.0,results for 25th annual ifpa world footbag championships 2004 open singles net,,0.0,0.0,missing_division_or_unmatched_division,167.0,31.0,323.0,244.0,15.0,25th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,2004.0
941418343,Results for WORLD FOOTBAG CHAMPIONSHIPS (2000) Open Singles Net,81.0,47.0,results for world footbag championships 2000 open singles net,,0.0,0.0,missing_division_or_unmatched_division,167.0,29.0,330.0,261.0,19.0,WORLD FOOTBAG CHAMPIONSHIPS,2000.0
1105087209,Results for IFPA Swiss Footbag Open : FootJam05 (2005) Open Doubles Net,70.0,43.0,results for ifpa swiss footbag open footjam05 2005 open doubles net,,0.0,0.0,missing_division_or_unmatched_division,145.0,5.0,70.0,70.0,3.0,IFPA Swiss Footbag Open 2005: FootJam05,2005.0
1331667371,Open Doubles Net,83.0,22.0,open doubles net,Open Doubles Net,13.0,13.0,truncated_division,140.0,15.0,110.0,35.0,2.0,Paris Net Battle 2,2012.0
1070954568,Open Shred 30 Finals (Two Day Average,64.0,16.0,open shred 30 finals two day average,,0.0,0.0,missing_division_or_unmatched_division,133.0,12.0,108.0,55.0,8.0,5th Annual Colorado Shred Symposium,2004.0
1391189882,Results for 35th IFPA WORLD FOOTBAG CHAMPIONSHIPS (2014) Open Singles Net,62.0,62.0,results for 35th ifpa world footbag championships 2014 open singles net,,0.0,0.0,missing_division_or_unmatched_division,129.0,24.0,275.0,246.0,18.0,35th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2014.0
981560223,II) Mens Open Freestyle (38 competitors,62.0,9.0,ii mens open freestyle 38 competitors,,0.0,0.0,missing_division_or_unmatched_division,129.0,47.0,104.0,30.0,5.0,Swiss Footbag Championships (FootJam),2001.0
