severity,sheet,event_id,event_name,discipline,placement,players,issue_type,details
HIGH,1983,1983_worlds_boulder,World Championships 1983 (NHSA),Doubles Ultra,1,Garry Griggs,doubles_only_one_player,Only one player found in doubles placement group
INFO,1983,1983_worlds_golden,1983 World Footbag Championships,Advanced Singles,1,Gary Griggs | Doug Krob,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1983,1983_worlds_golden,1983 World Footbag Championships,Open Singles,1,Jon Lind | Bruce Guettich,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1983,1983_worlds_golden,1983 World Footbag Championships,Women's Singles,1,Tricia George | Jodi Sebastian,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1997,1997_bedford_australia_indoor,Bedford (Australia) Indoor Footbag Championships,Open Singles Net,1,Grant Corbett | John Burrage,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1997,1997_bedford_australia_indoor,Bedford (Australia) Indoor Footbag Championships,Open Singles Net,2,John Burrage | Trevor Mazzucchelli,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1997,1997_bedford_australia_indoor,Bedford (Australia) Indoor Footbag Championships,Open Singles Net,3,Grant Corbett | Trevor Mazzucchelli,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1997,1997_eastregion,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,Singles Net,1,John Mortensen | Toxic Tom B.,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1997,1997_eastregion,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,Singles Net,2,Anthony Intemann | Josh Penney,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1997,1997_eastregion,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,Singles Net,3,Jamie Lepley | Lonn Vo,singles_tie_group,tie_size=2 tie_class=small_tie
HIGH,1997,1997_eugene_celebration,Eugene Celebration Footbag Tournament,Doubles Golf,5,Doug Gannon,doubles_only_one_player,Only one player found in doubles placement group
HIGH,1997,1997_eugene_celebration,Eugene Celebration Footbag Tournament,Doubles Golf,6,Brandon Crum,doubles_only_one_player,Only one player found in doubles placement group
HIGH,1997,1997_eugene_celebration,Eugene Celebration Footbag Tournament,Doubles Golf,7,Christy Rapp,doubles_only_one_player,Only one player found in doubles placement group
HIGH,1997,1997_eugene_celebration,Eugene Celebration Footbag Tournament,Doubles Golf,8,Chuck Baldwin,doubles_only_one_player,Only one player found in doubles placement group
HIGH,1997,1997_eugene_celebration,Eugene Celebration Footbag Tournament,Doubles Golf,9,Steve Dusablon,doubles_only_one_player,Only one player found in doubles placement group
HIGH,1997,1997_eugene_celebration,Eugene Celebration Footbag Tournament,Doubles Golf,10,Becca English-Ross,doubles_only_one_player,Only one player found in doubles placement group
HIGH,1997,1997_eugene_celebration,Eugene Celebration Footbag Tournament,Doubles Golf,11,Aaron Gregg,doubles_only_one_player,Only one player found in doubles placement group
HIGH,1997,1997_eugene_celebration,Eugene Celebration Footbag Tournament,Doubles Golf,12,Bobby Heiney,doubles_only_one_player,Only one player found in doubles placement group
INFO,1997,1997_heartoffootbag,HEART OF FOOTBAG Freestyle Tournament,Open Singles,5,Steve Goldberg | Steve Kremer,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1997,1997_montreal,Montreal International Footbag Championships,Open Singles Net,3,Alexis Deschenes | Yves Archambault,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1998,1998_air_a_zona,Air-A-Zona 2nd Annual Footbag Net Championships,Open Singles,5,Jake Leong | Sean Flynn,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1998,1998_air_a_zona,Air-A-Zona 2nd Annual Footbag Net Championships,Open Singles,7,Alexis Deschenes | Rob Adams,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1998,1998_air_a_zona,Air-A-Zona 2nd Annual Footbag Net Championships,Open Singles,9,David Butcher | Jim Caveney | Scott Milne | Yossarian Kelley,singles_tie_group,tie_size=4 tie_class=large_group
INFO,1998,1998_air_a_zona,Air-A-Zona 2nd Annual Footbag Net Championships,Open Singles,13,Andrew Morgan | Jason Langis | P.T. Lovern | Steve Sinclair,singles_tie_group,tie_size=4 tie_class=large_group
INFO,1998,1998_air_a_zona,Air-A-Zona 2nd Annual Footbag Net Championships,Open Singles,17,Chris Seibert | DJ Dourney | Dave Spears | Greg Potts | Hung Chang | JJ Jones | James Harley | Jerry Vigil,singles_tie_group,tie_size=8 tie_class=large_group
INFO,1998,1998_air_a_zona,Air-A-Zona 2nd Annual Footbag Net Championships,Open Singles,25,Garrett Young | Geoff Hand | John Leys | Patrick Keehan | Phil Madigan | Vincent Bradley,singles_tie_group,tie_size=6 tie_class=large_group
INFO,1998,1998_u_s,U. S. Open Footbag Net Championships,Open Singles Net 16 Entrants,9,Chris Siebert / Chard Cook | Chris Seibert,singles_tie_group,tie_size=3 tie_class=small_tie
INFO,1998,1998_westregion,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,Intermediate Singles Net,13,Brent Allard | Derric Scalf | Hugh Harrell | Iain McKechnie | Jeremy Williams | Matt Hillebrand,singles_tie_group,tie_size=6 tie_class=large_group
INFO,1998,1998_westregion,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,Intermediate Singles Net,19,Craig Lewis | Eric Burgess | Ian Cummings | James Leberknight | Lee Hammons | Rax Ander,singles_tie_group,tie_size=6 tie_class=large_group
INFO,1998,1998_westregion,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,Open Singles Net,13,Brent Stewart | Greg Durrett | Greg Landis | John Leys | Patrick Keehan | Vincent Bradley,singles_tie_group,tie_size=6 tie_class=large_group
INFO,1998,1998_westregion,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,Open Singles Net,19,Adrian Verhoef | Edwin Veltman | Jeremiah Vigil | Jim Curtis | Kerry Chun,singles_tie_group,tie_size=5 tie_class=large_group
INFO,1998,1998_westregion,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,Open Singles Net,24,JJ Jones | Tim Tucker,singles_tie_group,tie_size=2 tie_class=small_tie
INFO,1998,1998_westregion,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,Women's Intermediate Singles Net,5,Amber Ott | Ann Kaplan,singles_tie_group,tie_size=2 tie_class=small_tie
