event_id,division_guess,mirror_places_detected,mirror_max_place_detected
1000071985,NET GAME,1,2001
1000071985,_NO_DIVISION_DETECTED,1,2001
1001076203,En freestyle a a t trs sr parce qu'ils taient tous trs forts : belle,11,9
1001076203,l'oppos du freestyle,12,5
1001076315,Intermediate Doubles Net,6,6
1001076315,Intermediate Freestyle,9,9
1001076315,Intermediate Singles Net,6,6
1001076315,Pro Doubles Net,6,6
1001076315,Pro Freestyle,6,6
1001076315,Pro Singles Net,6,6
1001481885,Chicago Inner Circle,1,2
1001942070,30 Second Shred ? Intermediate,3,3
1001942070,30 Second Shred ? Open,3,3
1001942070,Doubles Net,5,3
1001942070,Golf,3,3
1001942070,Intermediate Freestyle,3,3
1001942070,Mixed Doubles Net,2,2
1001942070,Open Freestyle,3,3
1001942070,Singles Net,6,3
1001942070,Women?s Singles Net,2,2
1003567910,14h30 - shred 30,3,2701
1004342300,NET GAME,1,388
1004370976,Freestyle 2-min : 1. Jan Zimmermann,4,3
1005667143,Intermediate shred,7,3
1005667143,"Intermediate: 30shred, ironman, big trick. Open: 30shred",3,3
1005667143,Open Shred,3,3
1006149936,SUNDAY February 3rd --- SHRED,2,2701
1006149936,We'll have a gym on Sunday for free shred,2,6206
1009295627,NET GAME,1,2002
1009295627,_NO_DIVISION_DETECTED,1,2002
1010436318,"Mag Hughes style net training camp, time to get in gear",3,1030
1011324897,Freestyle Shred- Open_______ Intermediate______,1,239
1011324897,Intermediate Shred,6,3
1011324897,Open Shred,6,3
1011324897,"room with, please address and coordinate with the rest of the freestyle",1,322
1011556608,Intermediate Doubles Net,3,3
1011556608,Open Doubles Net,2,2
1011556608,"Razan Jong (USA) and Reto Zimmermann (Frisbee Freestyler, SWI",1,1
1011556608,freestyle finals will of course be the highlight of the whole event and take,1,2002
1011556608,ladies freestyle,3,3
1011556608,open freestyle,3,3
1011556608,sick 3 contest,3,3
1012038535,"development of sports directions: Volley Sock, Net Footbag and Freestyle",9,6
1012638214,5-6pm mixed doubles net *finals,1,5
1012638214,INTERMEDIATE FREESTYLE,6,6
1012638214,INTERMEDIATE SINGLES NET,4,4
1012638214,NET GAME,1,2002
1012638214,OPEN DOUBLES FREESTYLE,1,1
1012638214,OPEN DOUBLES NET,14,14
1012638214,OPEN MIXED DOUBLES NET,8,8
1012638214,OPEN SHRED:30 FREESTYLE,7,7
1012638214,OPEN SICK 3-TRICK COMBO,3,3
1012638214,OPEN SINGLES FREESTYLE,9,9
1012638214,OPEN SINGLES NET,15,15
1012638214,WOMEN'S DOUBLES NET,4,3
1012638214,WOMEN'S SINGLES NET,6,6
1012638214,_NO_DIVISION_DETECTED,1,2002
1012638214,novice doubles net,9,9
1013283071,Open Doubles Net,16,18
1013283071,Open Mixed Doubles Net,22,2002
1013283071,Results for 23rd Annual WORLD FOOTBAG CHAMPIONSHIPS (2002) Open Singles Net,25,28
1013283071,Women's Doubles Net,4,5
1013283071,Women's Singles Net,9,10
1015198403,"spiking, and digging. Bonus attractions will include the small Foot-C net",1,11710
1015303046,INTERMEDIATE DOUBLES NET,2,2
1015303046,MIXED DOUBLES NET,3,3
1015303046,OPEN DOUBLES NET,5,5
1015440065,GOOD shredders. This is an event you don't want to miss,1,100
1016457376,"Big 3, Shred 30, 4 Square, Consecutives",5,4
1016457376,Shred 30,9,5
1016457376,Timed 3 Minute Consecutives,9,5
1016457376,Timed 3 minute Consecutives,5,5
1016632760,ermglicht neben dem Shredden auch eine kleine Vernisage schweizer,1,11
1017872557,maybe 10/05/2002 if we couldn't organize the net and if we've the,1,11
1018812342,30sec Shred,3,3
1018812342,Doubles Freestyle,5,5
1018812342,Girl's Freestyle,8,3
1018812342,Intermediate freestyle,10,12
1018812342,Open Freestyle,8,8
1018812342,Sick 3,3,3
1018812342,of CR - Prague. All foreign shreders are invited to participate. Date: 31,1,8
1018925821,"Bill Hamilton, hamilton@pulsenet.com, phone: (724) 229-7141",2,12
1019193491,INTERMEDIATE FREESTYLE,1,1
1021267082,5:00pm - until... Pick up net and shred circles at Kits Beach,1,8
1021665982,"5-6 Doubles Net Final, soccer field",2,9800
1021665982,NET GAME,2,13820
1021665982,_NO_DIVISION_DETECTED,1,2002
1021665982,doubles net,34,2002
1021665982,singles net,24,10
1024091202,Intermediate Freestyle,3,3
1024091202,Junior Freestyle,3,3
1024091202,Open Freestyle,6,6
1024091202,Womens Freestyle,2,2
1025084282,Consecutives 3 Mins,1,200
1026144270,Golf/Adopt-a-Hole: anyone wanting to adopt-a-hole can,1,5
1026144270,Golf/Adopt-a-Hole: anyone wanting to adopt-a-hole can decorate it any,1,11745
1027925383,INTERMEDIATE DOUBLES NET,3,3
1027925383,INTERMEDIATE FREESTYLE,10,10
1027925383,INTERMEDIATE SINGLES NET,3,3
1027925383,OPEN DOUBLES NET,8,8
1027925383,OPEN FREESTYLE,12,12
1027925383,OPEN SINGLES NET,8,8
1028218784,Consecutive,1,2002
1028218784,NET GAME,1,2002
1028218784,_NO_DIVISION_DETECTED,1,2002
1028233308,FLOW FREESTYLE (New Event,1,5
1028800969,Doubles Net Open,7,6
1028800969,NET GAME,1,3
1028800969,Singles Freestyle Open,6,6
1028800969,Singles Net Open,8,8
1028800969,_NO_DIVISION_DETECTED,1,3
1028893890,net this year,1,1
1031232420,"Freestyle will be held in one of the hottest locations in town, the Rote",1,10
1031232420,OPEN singles/doubles Net,1,91
1031334528,1. Service block must occur at the net,2,3
1031334528,3. Body contact is allowed during golf shots,1,4
1031334528,3. Net footbag must be used during net portion,2,50
1031334528,All consolation net matches,1,50
1031334528,DOUBLES NET- INTERMEDIATE,4,4
1031334528,DOUBLES NET- NOVICE,4,4
1031334528,FREESTYLE &#8211; NOVICE,2,2
1031334528,FREESTYLE-AMATEUR,5,5
1031334528,GOLF -AMATEUR,5,5
1031334528,MASTER&#8217;S SINGLES NET,3,4
1031334528,PRO DOUBLES NET,4,4
1031334528,PRO FREESTYLE- SINGLE,4,5
1031334528,PRO GOLF,4,4
1031334528,PRO SINGLE NET,5,5
1031334528,Rules- 1. Shred till you drop,3,4
1031334528,SINGLES NET- INTERMEDIATE,5,5
1031334528,SINGLES NET- NOVICE,3,3
1031334528,"plans accordingly. A novice freestyler, Vinny Iachini, was our youngest",1,2003
1031334528,spike (airborne contact above net required,1,2
1031950473,"Footbag freestylers are invited to be part of the show at the ""Philadelphia",1,10
1032192280,2:00 PM ? 3:00 PM Open and intermediate freestyle performance,1,839
1032192280,2:00 PM Player?s meeting: freestyle,1,839
1032192280,2:30 PM ? 3:30 PM Beginner circle jams,1,839
1032192280,3:00 PM ? 4:00 PM Open 30-second shred- second round,1,839
1032192280,3:30 PM ? 5:00 PM Open and intermediate freestyle performance,1,839
1032192280,4:00 PM ? 5:00 PM Open sick three competition,1,839
1032192280,5:00 PM ? 6:00 PM Open 30-second shred- first round,1,839
1032472601,Intermediate Shred 30 (total adds only.. uniques etc. not counted,9,6
1032472601,Open Shred 30 (conventional rules,6,6
1032472601,Sunday - 1:30 p.m.- 6:00 p.m. - Shredding at the Hotel,23,19128
1032472601,The 3rd Annual Chilly Philly Freestyle Jam,1,4000
1032472601,"this format this year. However, backing for freestyle in the Phildelphia",2,4000
1034212755,City! Saturday we played freestyle and net. Sunday we rode the Ocean Bowl,1,216
1034985978,AND he played net too! You rock dude,1,2003
1034985978,INTERMEDIATE SINGLES FREESTYLE (Routines,3,3
1034985978,NET GAME,1,2003
1034985978,NOVICE SINGLES NET,3,3
1034985978,OPEN DOUBLES NET,3,3
1034985978,OPEN SINGLES FREESTYLE (Routines,3,3
1034985978,OPEN SINGLES NET,3,3
1034985978,SHRED 30 CHAMPION,3,3
1034985978,_NO_DIVISION_DETECTED,1,2003
1035277529,"Freestyle, Net",1,101
1035277529,INTERMEDIATE SINGLES FREESTYLE RANK,44,43
1035277529,MIXED DOUBLES FREESTYLE,3,3
1035277529,OPEN DOUBLES FREESTYLE,7,7
1035277529,OPEN SHRED:30,9,9
1035277529,OPEN SINGLES FREESTYLE RANK,58,55
1035277529,Open Doubles Routines,19,11
1035277529,Open Mixed Doubles Routines,47,43
1035277529,Results for 24th Annual WORLD FOOTBAG CHAMPIONSHIPS (2003) Open Singles Net,89,55
1035277529,WOMEN'S SINGLES FREESTYLE RANK,12,11
1035817350,Freestyle singles,8,5
1036298726,4:00 to 5:00 - Judge Shred before player's party,1,4
1036653244,Intermediate 30 Second Shred,6,3
1036653244,Open 30 Second Shred,3,3
1038895913,1 Minute Intermediate Freestyle,5,5
1038895913,2 Minute Open Freestyle,5,5
1038895913,30 Second Shred,5,5
1038895913,Sick 3 - Intermediate,3,3
1038895913,Sick 3 - Open,5,5
1039373343,"count-contest, 4-square champs, golf",1,65
1039550946,Intermediate doubles net,2,2
1039550946,Intermediate singles net,2,2
1039550946,NET GAME,1,2003
1039550946,Novice singles net,2,2
1039550946,Open doubles net,3,3
1039550946,Open singles net,4,3
1039550946,Women singles net (2 participants,2,2
1039550946,_NO_DIVISION_DETECTED,1,2003
1041241196,Girls Freestyle,3,3
1041241196,Intermediate Freestyle,3,3
1041241196,Open Freestyle,3,3
1042821772,Intermediate Doubles Net,2,2
1042821772,Intermediate Singles Freestyle 33 Player,33,31
1042821772,Intermediate Singles Net,1,1
1042821772,Open Doubles Freestyle 6 Teams,6,5
1042821772,Open Doubles Net,4,4
1042821772,Open Footbag Golf,51,36
1042821772,Open Shred:30,12,12
1042821772,Open Sick 3-Trick,3,3
1042821772,Open Singles Freestyle 38 Player,38,36
1042821772,Open Singles Freestyle Women 15 Player,15,13
1042821772,Open Singles Net,4,4
1042821772,Shred Contest 12 Player,12,12
1042821772,Sick 3,3,3
1043096425,Advanced Doubles Net,3,3
1043096425,Doubles Consecutive,3,3
1043096425,Footbag Freestyle,3,3
1043096425,Footbag Golf,3,3
1043096425,Mixed Doubles Footbag Net,3,3
1043096425,Open Doubles Net,3,3
1043096425,Open Singles Net,3,3
1043096425,Singles Consecutive,3,3
1043096425,Womens Singles Net,3,3
1043370312,"Dates are set. No comp, just jamming. We'll be shredding at the Milberry",1,2707
1043370312,NET GAME,1,500
1043370312,Rsvp can be made on the internet at www.bestinn.com or by calling,1,415
1043428338,12:00 - 5:00 pm - Freestyle jamming and four square,1,1068
1043428338,"promo via the internet, my wife Patty (for help with registration, dinner and",1,31
1044624680,Consecutives,5,4
1044624680,Freestyle Routines,7,3
1044624680,NET GAME,1,2003
1044624680,Shred 30,12,3
1044624680,_NO_DIVISION_DETECTED,1,2003
1044952105,Doubles net 1 day only tournament,10,7
1045628278,Non-competitors: 10$ (pays for the different indoors shred spots we will,1,100
1046985067,NET GAME,1,2003
1046985067,_NO_DIVISION_DETECTED,1,2003
1047223417,Frankenberg Freestyle Jam,1,1159
1047505983,Finnish Footbag Association hosts the Helsinki Freestyle Open,1,6
1047932475,shredding all day to awesome stereo system and possible live DJ as well,3,110
1048803993,"Golf starts at 8:30am, and net will begin at 10. As net matches wind",1,4103
1049457912,430 Net ends,1,6
1049457912,"930 Doubles Net begins, all divisions soccer field",1,1130
1049457912,"930 Net singles all divisions begins, soccer field",1,11
1049457912,Footbag Net,34,16
1049457912,Freestyle,25,17
