event_id,mirror_divisions_detected,mirror_total_places_detected
1000071985,7,2
1000144269,4,0
1000144852,10,0
1000230416,4,0
1000755022,5,0
1001076203,7,23
1001076315,12,39
1001481885,3,1
1001905008,4,0
1001942070,16,30
1002069766,3,0
1003567910,6,3
1003802417,3,0
1004342300,3,1
1004370976,5,4
1005667143,10,13
1006149936,8,4
1006441409,4,0
1007420059,9,0
1007574728,4,0
1007585014,2,0
1008128589,15,0
1009295627,5,2
1010435805,3,0
1010435995,3,0
1010436148,4,0
1010436318,4,3
1010436557,3,0
1010508559,6,0
1011291051,13,0
1011324897,26,14
1011352393,12,0
1011556608,17,16
1011874270,8,0
1012036677,3,0
1012038128,3,0
1012038393,3,0
1012038535,3,9
1012638214,50,89
1013283071,14,76
1015198403,5,1
1015303046,8,10
1015440065,12,1
1015579798,9,0
1016457376,11,28
1016632760,5,1
1016804421,21,0
1017769627,4,0
1017843560,4,0
1017872557,8,1
1017950010,3,0
1018812342,13,38
1018925821,12,2
1018965606,22,0
1019188032,6,0
1019193491,10,1
1020262608,10,0
1021267082,41,1
1021665982,24,63
1022558146,5,0
1022992222,8,0
1023993464,2,0
1024091202,11,14
1024546360,3,0
1025084282,6,1
1025613202,4,0
1026144270,12,2
1026232561,16,0
1027418579,6,0
1027577445,4,0
1027925383,11,44
1027973774,3,0
1028218784,25,3
1028233308,58,1
1028800969,9,23
1028893890,6,1
1029347412,10,0
1029966150,5,0
1030642331,2,0
1030830356,16,0
1031232420,24,2
1031237168,3,0
1031334528,65,59
1031681500,9,0
1031776456,8,0
1031950473,7,1
1032192280,21,7
1032347825,3,0
1032472601,24,41
1032602594,7,0
1032823372,5,0
1034212755,4,1
1034985978,10,21
1035042753,9,0
1035277529,21,289
1035817350,4,8
1036298726,28,1
1036653244,10,9
1038496738,11,0
1038895913,15,23
1038897034,5,0
1039213823,4,0
1039373343,4,1
1039550946,11,17
1041241196,10,9
1042347246,4,0
1042566573,6,0
1042586224,3,0
1042821772,24,184
1043096425,15,27
1043097272,3,0
1043370312,4,3
1043428338,11,2
1043430155,5,0
1043519477,5,0
1044624680,12,26
1044952105,3,10
1045628278,19,1
1046946825,2,0
1046985067,12,2
1047223417,4,1
1047505983,6,1
1047900538,4,0
1047932475,6,3
1048096008,2,0
1048634853,2,0
1048803993,7,1
1049058660,4,0
1049273207,6,0
1049457912,34,89
1050067583,12,15
1050140930,11,32
1050745947,24,29
1050937567,12,0
1050938388,10,0
1052774622,3,0
1052775226,4,1
1052775366,19,30
1053293390,3,0
1053481644,6,0
1054616435,12,0
1054686653,3,0
1054815304,2,0
1055286933,22,0
1056440761,6,1
1057126024,22,31
1057175925,19,33
1057345914,20,0
1057773472,16,6
1058378281,23,55
1058877971,10,2
1059060870,2,0
1059303183,4,0
1059467175,6,0
1060055944,7,0
1061212821,28,0
1061453080,12,24
1061921260,9,1
1062042893,5,0
1063109533,7,0
1063131720,7,0
1063253999,5,1
1063788560,12,40
1064245646,2,0
1064260799,7,3
1064330873,9,36
1064849293,19,73
1064994912,6,0
1065292903,4,0
1065382377,4,1
1065478531,5,0
1066802854,7,0
1068164332,6,0
1068164371,6,0
1068164424,6,0
1068406344,8,11
1068638122,4,0
1069415266,6,1
1069791565,25,27
1069929277,31,323
1070400528,6,0
1070643118,3,0
1070643655,12,2
1070734498,17,23
1070954568,12,108
1071060801,7,8
1072031608,4,0
1072202155,12,0
1073395133,2,0
1074511718,13,3
1075374981,8,0
1075781798,66,45
1076527857,2,0
1076748214,5,1
1076876907,9,8
1076952530,7,1
1077122897,5,0
1077567069,3,0
1077766197,18,3
1078942102,2,0
1079019815,3,0
1079024287,14,8
1079377808,7,0
1079444598,19,39
1079605499,16,75
1079664495,6,1
1080058216,11,2
1080138513,12,48
1080247856,8,0
1080317929,5,0
1080757998,15,0
1080896073,7,11
1081766954,5,10
1082093775,13,29
1082840921,26,3
1083478397,3,2
1083699966,7,9
1084360413,8,4
1085239522,13,0
1085481266,3,0
1086158422,7,0
1086232851,19,0
1086381911,6,0
1086541180,10,1
1088497264,3,3
1088671012,4,1
1088759907,5,0
1089373321,23,139
1090437706,22,1
1090569022,9,22
1091802943,13,2
1092044099,6,8
1092073845,12,53
1092223729,5,0
1092732658,5,1
1092753369,2,0
1093016884,6,0
1093115479,2,1
1093560365,4,0
1093919505,7,0
1093955766,7,5
1094071528,4,0
1094123527,9,96
1094201584,6,19
1094457497,7,0
1094784898,5,0
1095953949,11,0
1095965765,12,5
1096013096,5,0
1096104449,5,0
1096297135,4,0
1096318324,11,41
1096365262,6,0
1096695238,11,39
1097360428,7,0
1097609874,12,5
1097686137,8,22
1097785506,6,16
1097846623,7,0
1098777550,4,0
1099545007,2,0
1099911622,4,0
1100138895,8,0
1100611208,4,0
1100706477,8,0
1100728799,6,4
1100780754,6,0
1101332709,4,0
1101757562,5,4
1102066203,4,0
1102227996,14,20
1102443443,21,39
1102447093,10,4
1102472820,5,0
1102576153,26,375
1102788509,11,28
1103052584,14,1
1103297805,17,53
1103724325,25,52
1104710408,6,0
1104851808,75,132
1105087209,5,70
1105353373,7,2
1105370062,9,0
1105686115,12,44
1106150615,15,35
1106173658,23,0
1106561176,12,5
1107289556,4,0
1107290435,4,0
1108405853,8,0
1108437615,12,0
1108496302,3,1
1109356644,59,47
1109682847,4,8
1109707206,14,0
1109802420,5,20
1110553778,13,0
1110562712,14,3
1111001668,3,0
1111382512,4,0
1111586589,5,0
1111735438,7,1
1112309149,7,0
1112345821,3,0
1112346059,2,0
1112346298,3,0
1112346530,5,0
1112346726,3,0
1112346851,4,0
1113344236,13,0
1113572568,4,0
1113844078,4,0
1113922209,4,3
1114098777,3,0
1114277529,26,33
1114651834,3,0
1114794260,7,0
1115421099,4,0
1115607968,26,2
1115808046,2,0
1115824602,23,4
1116624802,6,0
1116843866,6,0
1117567956,7,0
1117746703,14,15
1118021628,8,2
1118099683,3,0
1118115847,6,1
1118129163,2,0
1118727456,2,0
1118934750,3,0
1119150194,7,0
1121106191,6,0
1121335231,3,0
1121753561,8,22
1122216578,2,1
1122216610,3,0
1122642080,3,0
1123526795,3,1
1123711044,8,0
1124035486,5,15
1124840254,16,21
1125004188,12,0
1125386609,3,0
1125435528,6,0
1125930075,4,0
1125936037,62,183
1126086921,33,40
1126088299,4,0
1127155729,24,56
1127412201,2,0
1128104971,6,0
1128503539,6,0
1128710222,5,0
1129021463,2,0
1130348067,6,0
1131570509,11,0
1131659634,18,31
1132101478,6,0
1132511088,11,42
1132627441,4,1
1133551923,6,1
1133888413,12,15
1134914723,26,60
1135116604,87,401
1135733249,5,0
1136993010,3,0
1137347261,24,43
1137695903,9,0
1137869689,4,0
1137870106,4,0
1137871082,4,0
1137937282,11,32
1137942486,29,124
1138311151,19,2
1138601883,21,37
1138746355,3,0
1138752993,2,0
1139360711,3,0
1139388796,10,0
1139606560,8,0
1139634835,13,0
1139778550,12,27
1140443885,3,0
1140537440,8,0
1141576257,7,17
1141653804,3,0
1142360459,9,26
1142618316,6,2
1142868614,4,0
1143027870,6,16
1143142374,3,3
1143155263,43,51
1143172220,42,45
1143195910,6,8
1143778769,6,0
1144786717,5,0
1145504362,3,0
1145915835,3,0
1146234524,4,0
1146356760,27,3
1146524016,2,0
1146675765,6,0
1146750435,4,0
1146789209,22,15
1146843672,7,0
1147894966,6,0
1148241486,15,22
1148374547,10,33
1149144315,4,1
1149763452,57,195
1149881200,72,49
1150622149,6,0
1150867353,5,2
1151256929,8,0
1151304456,3,0
1151949245,3,0
1152709116,3,0
1152709369,2,0
1153328438,5,0
1153345992,8,9
1153406539,3,0
1153407505,4,0
1153494398,4,0
1153593016,6,0
1153758494,6,0
1154685554,24,43
1154786399,5,0
1155788760,12,17
1156220451,7,0
1156283186,14,0
1156300267,2,0
1156412529,4,0
1156539170,7,3
1157019435,3,0
1157398732,7,33
1157401687,7,0
1157729051,3,0
1157942368,13,40
1157966773,3,0
1158263300,29,85
1158775891,3,0
1158777152,6,1
1159289566,7,1
1159893509,6,0
1160579826,9,29
1161087222,4,0
1161167528,11,34
1161871029,14,84
1161888703,8,12
1162657253,4,0
1163624128,6,0
1163784775,31,423
1164034575,4,4
1164131460,2,1
1164845982,8,36
1166048768,10,1
1166622628,20,62
1167422711,7,9
1168284910,2,0
1168614403,11,0
1168634226,12,52
1170456736,7,1
1170938713,5,0
1172329753,7,0
1172330581,7,0
1172562114,8,9
1172931308,9,1
1173372225,3,0
1173467292,14,61
1173606489,10,30
1174387892,5,0
1175752265,11,1
1176318174,38,82
1176650845,25,19
1176844933,12,10
1177512537,18,76
1177615498,7,31
1177680852,3,0
1177992444,8,0
1178795930,9,0
1179422330,4,0
1179679872,25,41
1179756870,3,1
1179874637,5,2
1179956360,6,0
1180133314,2,0
1180373807,29,76
1180496320,17,15
1180708622,18,5
1181021804,9,28
1181221772,10,0
1181223403,14,0
1182192438,7,0
1182542776,49,80
1183654670,16,63
1183729267,59,228
1183878158,2,0
1185458086,38,52
1185543931,4,0
1185556078,24,61
1186079315,4,0
1187054132,7,0
1187962245,6,0
1188081638,3,0
1188185178,5,0
1188233129,16,0
1189345008,10,57
1189467124,15,27
1189535136,8,11
1189657133,9,1
1189977929,16,2
1190256479,21,55
1190391829,3,1
1190627716,3,0
1190627741,3,0
1190765352,3,0
1191023926,7,0
1191462986,4,2
1191627566,11,35
1191666213,6,0
1191961810,6,19
1192722292,5,6
1193783964,47,134
1194517448,40,522
1194903573,3,0
1194987826,5,2
1195101783,4,0
1195585401,42,67
1195677906,12,6
1195773772,33,49
1196148525,7,0
1196344513,7,23
1197777887,7,1
1199106237,19,208
1199111750,8,0
1200325415,22,19
1200339931,2,0
1200725314,2,13
1200864725,8,3
1201396433,20,32
1201811757,8,1
1202049151,4,0
1202118857,3,14
1202432992,7,0
1202444182,9,0
1203102773,18,52
1203604560,11,18
1203617758,3,0
1203912183,11,0
1203967664,5,0
1204006435,4,0
1204009603,10,40
1204023565,2,0
1204634358,3,1
1204904987,23,62
1205552627,14,33
1206161350,6,0
1207077566,4,1
1208064566,19,9
1208345952,5,38
1208408135,8,23
1209416688,5,0
1209479477,5,0
1212037483,14,1
1212406878,9,25
1212739490,5,0
1212769063,18,0
1214407910,2,0
1215140720,12,0
1216058526,63,42
1216742033,11,0
1216849705,18,47
1217495440,6,0
1218721346,3,8
1218778218,5,0
1219405634,19,163
1219635668,12,0
1219967243,6,0
1220212557,6,0
1220466807,26,51
1220519679,10,21
1220533446,3,0
1221077830,2,1
1221483154,9,0
1221506867,3,10
1221851028,2,0
1222687523,27,174
1223052562,5,0
1223307279,10,1
1224516724,5,0
1224962900,36,96
1225058677,3,0
1225370942,11,25
1226111754,5,0
1226193416,5,0
1226205667,15,124
1226378339,12,17
1226531946,6,0
1226549669,4,25
1226679678,30,345
1226938152,9,46
1226951345,6,0
1227137032,2,0
1227800669,2,1
1228946926,5,35
1229435305,12,20
1229478490,4,0
1230137364,8,0
1230850031,6,18
1231286017,31,40
1231352370,7,1
1231432184,12,48
1232305460,4,0
1232474501,60,58
1232970381,3,0
1233299407,31,50
1233671663,5,0
1233718528,18,17
1233837304,6,0
1234761224,6,11
1235149093,40,130
1235253768,22,7
1235504528,3,10
1235586743,3,0
1235653935,47,200
1237771561,9,14
1237931316,4,0
1238455534,4,0
1238728089,3,2
1239056543,5,0
1239721441,7,24
1240469006,6,24
1240660448,2,0
1241011525,10,58
1241031822,5,30
1242210886,9,22
1242576759,3,0
1244553505,6,21
1244573931,5,0
1245199707,17,27
1245404642,16,79
1245432804,28,35
1245590527,5,0
1245793403,59,35
1248033041,13,16
1248864536,14,72
1249570727,10,4
1249614632,6,0
1249675925,3,0
1250478677,4,0
1251952403,8,34
1251990500,29,126
1252110023,23,59
1252451527,60,81
1253041092,3,0
1254008805,4,0
1254335688,5,0
1254662073,9,22
1254724022,16,0
1254829577,12,60
1255269216,20,8
1255335697,8,23
1255957016,31,103
1256202918,37,184
1256223773,3,0
1256524709,4,0
1257248524,6,0
1257329659,8,0
1257621700,9,47
1258513500,9,37
1258888311,7,0
1260368810,22,40
1260517364,5,13
1261012270,3,0
1262288759,25,52
1262631137,5,13
1262691385,7,27
1263402562,7,0
1263589392,8,0
1264098849,6,33
1265745512,106,495
1265850138,20,56
1267199851,27,15
1267210122,5,0
1267469140,5,0
1267641525,3,0
1267718326,11,23
1267920908,4,0
1267996189,5,13
1268191383,17,13
1268321371,2,0
1268338685,5,0
1268407783,9,24
1268445253,6,44
1268461682,2,0
1268498027,9,5
1269111845,3,24
1269266785,26,373
1269860787,3,7
1270518636,8,14
1270631935,14,101
1270666282,7,1
1271150577,13,0
1271270281,10,18
1271275118,4,10
1271879914,4,0
1272817638,5,33
1273248665,21,62
1274335003,4,1
1277805979,11,83
1278086538,12,0
1278603677,35,172
1278991986,2,0
1280002674,11,45
1280907422,12,25
1281584649,3,0
1282224512,38,108
1282647603,11,11
1282860813,4,4
1282912320,27,71
1284182261,7,28
1284588517,14,66
1284687315,3,0
1285506605,20,22
1285989828,6,0
1286269634,3,0
1286381206,7,0
1286381599,12,90
1286644859,7,20
1286898976,4,0
1287439208,3,4
1287703732,4,8
1288096032,33,109
1288652104,5,2
1288875968,3,0
1290861524,9,26
1291310354,3,1
1292601394,3,1
1293877677,25,634
1293877917,38,240
1293878155,13,55
1293878357,4,0
1294262550,20,215
1294779128,7,41
1295120951,39,86
1295262886,9,12
1295557254,5,0
1295842442,27,53
1296261390,2,0
1296449468,5,0
1296587264,3,0
1297811412,36,245
1297909685,8,74
1298063977,4,22
1298627369,40,139
1299019355,15,41
1299244521,2,0
1299532552,13,35
1300316952,14,81
1300327999,5,0
1301104070,8,29
1301243982,13,33
1301520046,4,0
1301675662,10,90
1301837216,3,27
1301837824,9,47
1301958487,19,45
1302802291,11,42
1302821677,4,0
1302874713,6,32
1303781522,6,0
1303782141,10,0
1304491651,3,0
1305581560,12,65
1305804880,3,0
1306892641,5,4
1309835062,2,0
1310408325,14,46
1311699287,7,72
1312383767,2,1
1313347880,2,0
1313351184,26,49
1314229545,11,21
1314323534,19,112
1314328055,7,44
1314828420,10,12
1315451053,5,8
1316280393,28,96
1317411999,4,0
1318673467,16,84
1319309342,7,1
1319622692,21,97
1320232300,16,48
1320376792,8,1
1320803601,29,55
1320827447,5,0
1321368279,5,27
1321869570,15,49
1323272493,38,706
1323731984,7,0
1323980691,9,41
1325504349,11,53
1326451143,4,15
1326650561,2,0
1326725476,9,0
1327693335,7,18
1328094862,22,258
1329044785,9,24
1329132977,26,124
1330387782,5,0
1330833781,10,31
1330902233,41,90
1331667371,15,110
1331670084,9,2
1331767136,6,0
1333483324,8,15
1335148163,14,33
1335381794,7,81
1335761071,9,97
1335898356,7,20
1336988107,19,172
1337309613,19,75
1337327565,4,25
1337617980,34,120
1337623340,35,85
1337821625,6,0
1338821785,7,20
1339389008,11,105
1344519313,7,14
1344593549,38,104
1344933824,22,39
1346947092,34,60
1346948712,18,37
1347468253,4,0
1347475695,5,71
1348171585,7,4
1348929718,8,47
1349043745,24,176
1353085933,9,29
1353223688,12,76
1353380057,8,65
1354105874,3,0
1354752474,37,207
1357101984,37,76
1357206898,23,91
1357231609,11,49
1357234775,8,34
1357642226,6,45
1358271250,29,91
1358456390,14,0
1358964427,8,12
1360305756,12,16
1361207019,28,343
1361239371,11,32
1361239920,11,43
1361389375,2,0
1362598500,16,68
1362657553,22,164
1362915311,6,30
1362998697,4,0
1363290922,6,0
1363551565,7,40
1363885216,7,3
1364886903,4,0
1365167977,4,0
1366240051,3,28
1366375326,13,43
1367327351,23,73
1368559562,8,96
1368608854,5,0
1369141018,7,37
1369676230,7,0
1369864929,9,16
1370276202,15,70
1370705317,5,0
1370813105,2,0
1371821574,12,74
1372032833,7,1
1372104604,3,0
1374570632,28,53
1376036018,32,143
1377192359,18,87
1377916336,3,0
1377956084,2,0
1378666423,15,62
1378821205,11,81
1378928859,12,21
1379414806,6,17
1381432558,6,9
1382154449,3,0
1382778441,19,38
1383076667,21,69
1385396693,4,1
1386323590,5,0
1386621722,7,0
1386623061,35,62
1387419737,3,0
1389134238,2,0
1389304436,3,0
1389338303,13,186
1389613723,7,29
1389730147,24,55
1390068476,3,0
1391176125,8,25
1391189882,24,275
1391794397,8,0
1392497284,10,6
1393451254,6,23
1393501611,5,42
1394621886,7,11
1394741142,7,0
1394742347,8,25
1394773593,27,45
1395957518,9,6
1396639882,3,0
1397480031,8,0
1398800539,8,0
1399929003,8,11
1401113913,21,57
1401624489,8,12
1403287103,13,36
1403290409,7,0
1403725124,3,0
1404123889,7,22
1405875596,33,91
1406219099,39,55
1407205513,7,0
1407335213,21,92
1407338523,3,0
1408070192,9,0
1408904336,3,0
1409501280,8,2
1412451319,11,1
1412859519,7,67
1413580110,8,1
1413607134,10,102
1415986036,16,23
1416185025,10,0
1417000778,5,27
1417735560,26,304
1417958417,13,118
1418127354,7,113
1420195881,7,48
1420233328,5,0
1421069713,6,22
1421271111,8,19
1421845498,6,0
1422131343,7,1
1422386917,11,34
1423020874,8,79
1425372477,43,90
1427144456,14,29
1429205408,9,0
1429981795,5,0
1430582557,11,74
1430596760,13,26
1431288258,5,20
1432767349,8,0
1432901754,6,50
1435110091,33,37
1435784719,8,36
1436878168,7,37
1438626750,20,76
1439022078,4,0
1439332196,27,59
1444749817,5,0
1444911632,18,124
1445178271,9,16
1446571794,12,0
1446955290,3,0
1447494731,18,9
1447711641,5,0
1449217972,5,8
1449259560,72,187
1450218357,3,0
1453384342,9,15
1453822134,2,0
1454371285,7,8
1455047000,6,13
1455657912,2,0
1456866363,15,1
1457632081,4,0
1458125752,4,12
1458170459,6,25
1458772302,32,39
1459426362,22,58
1460640850,29,96
1461077179,18,8
1462558573,5,0
1463511970,5,18
1464967908,23,7
1465592098,8,0
1466891959,11,25
1466942562,18,68
1467142686,28,50
1467658625,10,0
1471407009,7,5
1471686537,21,177
1472157450,3,0
1472456998,10,0
1473827149,7,0
1473853257,24,40
1473932659,14,22
1474664789,3,1
1476214639,5,2
1485520697,13,25
1485863923,21,104
1485967222,5,15
1485970612,4,17
1486654923,5,8
1487797845,15,217
1487800738,4,6
1488888772,6,0
1488957997,12,44
1489248474,14,0
1489831587,3,0
1492354286,6,14
1493063319,10,0
1497678985,4,28
1498568502,10,15
1499025778,7,71
1499168069,4,3
1502214525,8,0
1502929111,22,20
1502997442,24,25
1503254716,30,5
1504111094,2,0
1504970843,2,0
1505826845,7,0
1506084098,3,0
1506675509,5,0
1509295388,9,9
1509295589,9,8
1509482281,3,0
1509483549,5,0
1510237567,4,0
1515176008,5,20
1516978874,8,25
1518200935,17,101
1519215398,27,173
1519233007,4,12
1520348349,5,13
1520596747,6,18
1521533462,3,0
1524683077,24,21
1524765450,3,0
1526035381,10,9
1526583313,5,6
1526588580,6,0
1527557123,8,15
1529239199,13,43
1531284609,30,93
1531306511,3,0
1531311472,6,15
1533246739,13,37
1534431515,8,0
1535718857,3,0
1536221908,11,23
1537521152,5,19
1537994275,4,14
1539024211,16,0
1547415984,23,296
1547720079,6,22
1547736546,7,0
1549597969,4,28
1551207285,5,9
1552865692,29,0
1555631351,20,48
1556306551,7,0
1556484971,6,2
1556730450,9,0
1557144269,11,21
1557331196,5,5
1560959628,5,0
1562271704,5,0
1564005204,8,1
1564523795,8,0
1565425638,16,31
1566500647,4,1
1566532030,8,65
1567551985,16,77
1568289502,6,13
1568692191,7,14
1568961264,17,39
1572864719,7,0
1574365921,10,1
1575361225,9,5
1576069465,3,0
1576342966,10,17
1580146053,3,0
1580328152,5,6
1584223469,9,0
1587822289,8,1
1589947718,5,1
1593340253,6,1
1595872698,5,12
1596587110,20,19
1598616506,5,2
1600984774,10,45
1604927366,3,0
1605811541,5,0
1607716115,3,0
1614772897,5,8
1617902706,6,1
1623054449,15,48
1624971880,21,37
1625854837,7,12
1628024472,6,10
1628025574,6,26
1628025851,6,0
1628596712,5,0
1630611180,3,0
1634665636,12,37
1634938934,7,0
1635599636,4,0
1643478787,12,19
1645025950,9,9
1645453872,3,0
1645621833,5,1
1646387871,21,165
1646855336,48,130
1647508742,6,26
1649177702,18,0
1649326445,6,0
1653152207,5,0
1653647467,7,1
1656248710,4,1
1657486956,7,1
1658368219,4,0
1662876755,3,0
1664206719,17,7
1667566506,8,1
1668541701,14,66
1669556651,5,1
1673723574,5,10
1677285621,6,2
1677937557,8,11
1678957450,28,232
1686926080,5,29
1688144863,17,2
1690897570,5,0
1692508794,4,6
1694170899,8,87
1694868513,9,26
1695501837,5,10
1697391704,11,79
1699593640,8,42
1699646166,16,0
1699709080,7,12
1700920831,6,15
1706036811,30,168
1706536250,8,12
1709070838,15,26
1709496969,5,20
1711181388,4,8
1711182054,8,21
1711460377,7,0
1713276656,3,27
1713715580,6,0
1718928783,5,0
1719166875,10,0
1721038326,7,28
1721320739,7,21
1721817655,8,0
1721923932,7,1
1722339396,5,0
1725790026,3,0
1727756195,9,64
1728058298,4,8
1728384115,4,0
