event_id,parsed_total_places,parsed_divisions
1000071985,11,2
1001076203,21,4
1001076315,40,6
1001942070,30,10
1004370976,6,2
1005667143,12,5
1011291051,39,4
1011324897,12,4
1011556608,14,5
1012638214,77,11
1013283071,78,6
1015303046,10,3
1016457376,22,4
1018812342,38,6
1018925821,4,2
1019193491,17,2
1021665982,55,3
1022992222,7,3
1024091202,14,4
1025084282,9,2
1027925383,44,6
1028218784,53,12
1028233308,31,7
1028800969,23,3
1029347412,2,2
1030830356,52,9
1031334528,52,12
1032472601,13,3
1032602594,15,4
1034985978,19,7
1035277529,192,15
1035817350,8,2
1036298726,41,6
1036653244,9,2
1038895913,27,6
1039550946,15,6
1041241196,9,3
1042821772,116,10
1043096425,27,9
1043430155,4,2
1044624680,24,8
1044952105,8,1
1045628278,12,4
1046985067,9,4
1049457912,81,9
1050067583,16,6
1050140930,32,6
1050745947,24,6
1052775366,30,7
1057126024,33,11
1057175925,33,11
1057345914,36,12
1057773472,3,2
1058378281,55,17
1058877971,12,3
1061212821,25,9
1061453080,26,10
1063788560,40,7
1064330873,34,3
1064849293,61,8
1065478531,12,1
1068406344,13,3
1069791565,28,6
1069929277,244,15
1070734498,20,3
1070954568,55,8
1071060801,8,2
1074511718,12,6
1075781798,45,13
1076876907,10,2
1076952530,9,3
1077766197,3,2
1079024287,6,3
1079444598,39,12
1079605499,65,11
1080138513,50,7
1080757998,16,7
1080896073,11,1
1081766954,11,2
1083699966,19,1
1089373321,98,12
1090437706,54,9
1090569022,24,2
1092044099,8,2
1092073845,60,9
1093955766,6,2
1094071528,8,1
1094123527,48,4
1094201584,22,5
1095965765,9,3
1096318324,27,2
1096695238,40,9
1097686137,23,5
1097785506,16,1
1100728799,4,1
1102227996,20,2
1102443443,41,7
1102447093,3,1
1102576153,238,15
1102788509,13,4
1103297805,63,18
1103724325,54,7
1104851808,30,5
1105087209,70,3
1105353373,9,3
1107289556,7,1
1107290435,30,3
1109356644,47,12
1109682847,8,3
1109802420,10,1
1110562712,7,7
1111735438,17,6
1113344236,6,2
1114277529,29,5
1117746703,23,5
1121753561,9,3
1124035486,15,2
1124840254,21,8
1125004188,14,4
1125936037,112,13
1126086921,40,10
1127155729,56,8
1131659634,21,4
1132511088,42,6
1133888413,14,4
1134914723,85,12
1135116604,267,18
1137347261,29,6
1137937282,32,6
1137942486,97,12
1138601883,27,3
1139778550,26,4
1141576257,17,2
1142360459,26,2
1143027870,16,1
1143155263,72,17
1143172220,44,12
1143195910,7,1
1146356760,5,4
1146789209,11,3
1146843672,9,1
1148241486,21,6
1148374547,44,4
1149763452,140,16
1149881200,40,11
1153345992,9,1
1154685554,43,6
1155788760,15,3
1156283186,20,8
1157398732,33,5
1157942368,18,6
1158263300,56,11
1160579826,9,1
1161167528,42,6
1161871029,62,7
1161888703,12,2
1163624128,1,1
1163784775,269,19
1164034575,4,1
1164845982,36,5
1166622628,18,3
1167422711,9,1
1168634226,19,4
1170456736,30,5
1172562114,11,1
1172931308,16,4
1173467292,16,2
1173606489,30,2
1176318174,82,17
1176650845,27,4
1176844933,10,2
1177512537,43,6
1177615498,31,3
1179679872,33,4
1179874637,16,4
1180373807,60,7
1180496320,14,4
1181021804,15,4
1182542776,66,13
1183654670,24,4
1183729267,146,14
1185458086,51,11
1185556078,39,7
1188233129,22,6
1189345008,64,9
1189467124,24,3
1189535136,11,3
1189977929,18,3
1190256479,13,4
1191627566,7,2
1192722292,6,1
1193783964,100,19
1194517448,319,21
1195585401,66,4
1195677906,6,2
1195773772,30,9
1196344513,23,3
1199106237,172,13
1200325415,15,5
1200725314,6,1
1201396433,11,4
1201811757,18,2
1202118857,14,1
1203102773,26,4
1203604560,17,1
1204006435,28,3
1204009603,38,4
1204904987,40,4
1205552627,33,3
1206161350,15,3
1208064566,9,2
1208345952,41,3
1208408135,23,8
1212406878,26,3
1212769063,6,2
1216058526,56,9
1216742033,11,2
1216849705,31,7
1218721346,8,1
1219405634,96,10
1220466807,39,6
1220519679,21,2
1221506867,10,1
1222687523,124,11
1224962900,50,11
1225370942,25,2
1226205667,26,4
1226378339,16,2
1226549669,25,2
1226679678,237,20
1226938152,29,4
1228946926,34,3
1229435305,18,2
1230850031,18,2
1231286017,37,6
1231432184,63,6
1232474501,54,3
1233299407,32,9
1233718528,17,4
1234761224,11,2
1235149093,97,7
1235253768,30,8
1235504528,10,1
1235653935,138,18
1237771561,14,2
1239056543,36,2
1239721441,22,4
1240469006,27,3
1241011525,51,5
1241031822,30,4
1242210886,24,2
1244553505,21,3
1245199707,26,4
1245404642,23,3
1245432804,35,10
1245793403,33,8
1248033041,24,4
1248864536,52,11
1250478677,8,1
1251952403,32,2
1251990500,47,5
1252110023,42,6
1252451527,69,10
1254662073,18,3
1254829577,48,7
1255269216,13,4
1255335697,23,2
1255957016,64,11
1256202918,137,9
1257621700,43,7
1258513500,37,2
1260368810,33,2
1260517364,13,3
1262288759,50,7
1262631137,13,3
1262691385,25,5
1264098849,31,2
1265745512,267,20
1265850138,30,8
1267199851,55,9
1267469140,26,2
1267718326,23,3
1267920908,9,1
1267996189,13,3
1268191383,12,5
1268407783,42,3
1268445253,42,3
1269111845,24,1
1269266785,193,14
1269860787,7,1
1270518636,14,3
1270631935,38,2
1271270281,19,1
1271275118,10,2
1272817638,32,2
1273248665,38,9
1277805979,30,4
1278603677,56,6
1280002674,32,5
1280907422,25,5
1282224512,93,9
1282647603,12,1
1282912320,42,8
1284182261,28,2
1284588517,30,4
1285506605,17,3
1285989828,18,2
1286381206,23,2
1286381599,57,5
1286644859,20,4
1287439208,4,1
1287703732,8,1
1288096032,79,11
1290861524,30,2
1293877677,381,22
1293877917,140,18
1293878155,27,4
1294262550,111,8
1294779128,20,2
1295120951,66,10
1295262886,10,2
1295842442,62,8
1297811412,154,11
1297909685,37,5
1298063977,11,1
1298627369,93,8
1299019355,41,3
1299532552,36,4
1300316952,28,2
1301104070,11,1
1301243982,19,2
1301675662,45,5
1301837216,11,1
1301837824,23,2
1301958487,21,7
1302802291,21,2
1302874713,16,2
1305581560,27,2
1310408325,27,5
1311699287,36,3
1313351184,30,8
1314229545,21,4
1314323534,73,9
1314328055,19,2
1315451053,4,1
1316280393,64,8
1318673467,45,4
1319622692,52,5
1320232300,24,2
1320803601,46,7
1321368279,27,2
1321869570,39,6
1323272493,330,18
1323980691,21,2
1325504349,17,1
1326451143,6,1
1327693335,11,2
1328094862,143,10
1329044785,12,2
1329132977,84,14
1330833781,29,2
1330902233,43,6
1331667371,35,2
1333483324,15,2
1335148163,33,4
1335381794,25,2
1335761071,32,2
1335898356,10,2
1336988107,109,14
1337309613,37,5
1337327565,25,2
1337617980,93,10
1337623340,36,5
