sheet,event_id,event_name,issue_type,count
1983,1983_worlds_boulder,World Championships 1983 (NHSA),doubles_only_one_player,1
1983,1983_worlds_golden,1983 World Footbag Championships,near_duplicate_names_same_event,2
1983,1983_worlds_golden,1983 World Footbag Championships,singles_tie_group,3
1984,1984_worlds_boulder,World Championships 1984,near_duplicate_names_same_event,1
1984,1984_worlds_golden,1984 World Footbag Championships,near_duplicate_names_same_event,1
1985,1985_eastregion,East Coast Championships - 3rd Annual - 1985,near_duplicate_names_same_event,1
1985,1985_st_valentines_day,St. Valentines Day Footbag Massacre,near_duplicate_names_same_event,1
1990,1990_eastregion,East Coast Footbag Championships - 8th Annual - 1990,near_duplicate_names_same_event,1
1991,1991_eastregion,East Coast Footbag Championships - 1991 - 9th Annual,near_duplicate_names_same_event,2
1997,1997_bedford_australia_indoor,Bedford (Australia) Indoor Footbag Championships,duplicate_player_same_event_discipline,3
1997,1997_bedford_australia_indoor,Bedford (Australia) Indoor Footbag Championships,singles_tie_group,3
1997,1997_eastregion,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,near_duplicate_names_same_event,1
1997,1997_eastregion,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,singles_tie_group,3
1997,1997_eugene_celebration,Eugene Celebration Footbag Tournament,doubles_only_one_player,8
1997,1997_eugene_celebration,Eugene Celebration Footbag Tournament,duplicate_player_same_event_discipline,6
1997,1997_finnish,FOOTBAG SM 97 / Finnish Footbag Championships '97,suspicious_placement_gap,1
1997,1997_heartoffootbag,HEART OF FOOTBAG Freestyle Tournament,near_duplicate_names_same_event,2
1997,1997_heartoffootbag,HEART OF FOOTBAG Freestyle Tournament,singles_tie_group,1
1997,1997_montreal,Montreal International Footbag Championships,singles_tie_group,1
1997,1997_southern_california,Southern California Footbag Championships,suspicious_placement_gap,1
1997,1997_ultimate_chaos_outdoor,The Ultimate Chaos Outdoor Footbag Flying Disc Festival,near_duplicate_names_same_event,2
1997,1997_university_oregon,University of Oregon Footbag Tournament,near_duplicate_names_same_event,2
1997,1997_university_oregon,University of Oregon Footbag Tournament,suspicious_placement_gap,1
1997,1997_worlds_portland,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,near_duplicate_names_same_event,2
1998,1998_air_a_zona,Air-A-Zona 2nd Annual Footbag Net Championships,near_duplicate_names_same_event,4
1998,1998_air_a_zona,Air-A-Zona 2nd Annual Footbag Net Championships,singles_tie_group,6
1998,1998_beaver_open,18th Annual Beaver Open,near_duplicate_names_same_event,1
1998,1998_emeraldcity,15th Annual Emerald City Open,near_duplicate_names_same_event,2
1998,1998_fighting_illini,The 1st Annual Fighting Illini Footbag Festival,near_duplicate_names_same_event,1
1998,1998_footbagjam_malta,Northern Illinois Footbag Open,near_duplicate_names_same_event,1
1998,1998_u_s,U. S. Open Footbag Net Championships,near_duplicate_names_same_event,1
1998,1998_u_s,U. S. Open Footbag Net Championships,singles_tie_group,1
1998,1998_u_s,U. S. Open Footbag Net Championships,suspicious_placement_gap,3
1998,1998_westregion,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,near_duplicate_names_same_event,5
1998,1998_westregion,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,singles_tie_group,6
1998,1998_winter_windchill_warm,1998 Winter Windchill Warm-Up (l'Hivernal),singles_tie_group,2
